19337161
/m/04n3vkk
/m/04n3vkk
Andrew Greig
2008
a 5
action 1
also 1
although 1
and 3
around 1
book 2
buchan 1
busker 1
but 1
characters 1
connection 1
england 1
explicit 1
for 1
from 2
greig 1
halfmaori 1
homage 1
in 3
includes 1
is 3
it 2
john 3
like 1
macnab 2
made 1
main 1
mainly 1
norway 1
not 1
novel 2
of 5
oslo 1
place 1
player 1
previous 1
quest 1
return 2
reunites 1
rugby 1
scone 1
scotland 1
second 1
sections 1
sequel 1
set 1
something 1
stone 1
stories 1
takes 1
teams 1
the 9
them 1
this 2
time 1
to 2
with 1
