636502
/m/02z6vx
/m/02z6vx
Iain Banks
2004
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
4034 1
a 26
able 1
about 1
access 1
across 1
ad 1
adherents 1
advanced 1
against 1
agent 1
aiming 1
all 3
alliance 1
allies 1
allowing 1
almost 1
also 2
an 2
anarchic 1
ancient 1
and 13
antimatter 1
anxiously 1
anywhere 1
archimandrite 1
are 5
around 1
arrive 2
arriving 1
artificial 3
artificially 1
as 3
assistance 1
astonished 1
at 6
attempt 2
attraction 2
available 1
await 1
back 1
banks 1
based 1
be 3
been 3
before 2
being 1
beings 2
better 1
beyonder 3
beyonders 3
beyonderstarveling 1
billions 1
blamed 1
blows 1
body 1
book 1
both 1
but 1
by 2
can 1
center 1
centerstage 1
certain 1
civilization 2
clues 1
cluster 1
colonise 1
communicate 1
complex 1
connection 1
considered 1
containing 1
contrast 1
control 1
cooperation 1
coordinates 1
cores 1
counterattack 2
court 1
cult 2
cut 1
defences 1
defend 1
defensive 1
delivery 1
despair 1
destroying 1
devastating 2
disconnect 1
discover 1
dismay 1
disorganised 1
dizzying 1
doubtful 1
drafted 1
dweller 6
dwellerinhabited 1
dwellers 9
dynasty 1
easily 1
ends 1
epiphany 1
erased 1
every 1
exact 2
existed 1
existence 2
expedition 2
experience 3
fact 1
factions 1
fassin 1
faster 1
feudal 1
find 1
first 1
five 1
flees 1
fleet 3
fleets 1
for 6
force 2
forced 1
forces 1
forward 1
foundation 1
free 1
fringes 1
from 7
further 1
galaxy 5
gas 1
gasgiant 2
get 1
giants 1
give 2
glean 1
go 1
gravitational 2
harbouring 1
has 4
have 4
having 1
he 4
hidden 1
hierarchy 1
him 1
his 3
however 5
human 2
humans 1
hunt 1
hurries 1
ie 1
in 12
inadvertently 1
individuals 1
information 2
inhabit 2
inhabitants 1
intelligences 3
into 1
invade 1
involved 1
is 11
it 6
its 2
itself 1
joined 1
journey 2
knowledge 1
kudos 1
lagrange 1
large 1
largely 1
lastditch 1
lead 1
leaving 1
left 1
legendary 1
libraries 1
life 3
light 2
like 1
list 4
live 1
local 1
locating 1
location 1
long 2
longlived 1
looking 1
loose 1
luseferous 3
major 1
majority 1
makes 1
marauders 1
massive 1
mathematical 1
means 1
memory 1
mercatoria 10
metabolisms 1
millions 1
much 2
must 1
nasqueron 4
native 1
necessary 2
needed 1
neighboring 1
net 2
network 3
never 1
nonhumanoids 1
not 1
novel 2
now 1
occupied 1
of 35
off 1
on 5
one 1
only 3
order 1
orders 1
originating 1
other 2
out 4
outside 1
over 1
overwhelm 1
own 1
particularly 1
partly 2
persecution 1
piece 1
place 1
planets 2
point 2
portal 1
portals 4
portrays 1
possess 2
predicted 1
previous 2
private 1
promising 1
pursuit 1
quick 1
quiet 1
rate 1
recapture 1
region 1
relatively 1
religiomilitary 1
religious 1
remain 1
remaining 1
remains 1
research 1
researchers 1
respond 1
rest 1
retreat 1
returns 1
revealed 2
rid 1
ruled 1
rumoured 1
scholarship 1
secret 3
secrets 1
seer 1
seers 1
sentient 1
sets 1
ships 1
since 1
slow 3
slower 1
slowing 1
small 1
so 1
society 1
some 1
sooner 1
space 1
species 6
speed 2
speeds 1
spread 1
star 2
starveling 2
starvelings 1
still 1
story 1
sub 1
sublight 1
sublightspeed 1
such 3
sufficiently 1
superior 1
sympathy 1
system 5
systems 2
taak 9
takes 2
temporal 1
than 2
that 5
the 70
their 7
them 2
themselves 1
they 2
threatening 1
through 1
time 2
to 22
together 1
transform 4
travel 3
treatment 1
tries 1
turns 1
tyrannical 1
ulubis 7
unclear 1
uncovered 1
under 2
up 1
useless 1
vast 1
very 1
via 1
war 1
warlord 1
was 2
weaponry 1
weapons 1
were 1
whether 1
which 4
who 4
will 3
with 10
within 1
without 1
wondering 1
wormhole 3
wormholes 1
years 2
yield 1
zeal 1
zero 2
