22487809
/m/05zjjhz
/m/05zjjhz
Denise Vega
2005
{"/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 16
about 5
accidentally 1
actions 1
affected 1
after 2
agreeing 1
agrees 1
aka 1
all 1
along 1
also 2
although 1
an 2
and 19
annoyed 1
another 1
anything 2
apologies 1
apology 1
are 2
arm 3
as 1
asks 1
at 2
attend 1
away 1
be 2
because 7
becomes 3
bedframe 1
been 1
being 1
best 1
better 2
between 1
big 1
bit 1
blog 4
body 1
boy 1
boyfriend 1
break 1
breaks 1
broken 1
brother 1
brought 1
brown 1
bruises 1
bump 1
but 3
by 4
c 1
calling 1
causes 1
chances 1
changes 1
character 1
checked 1
childhood 1
choose 2
chooses 1
chris 1
club 1
comes 1
comments 1
common 1
corn 2
correct 1
costume 1
crushing 1
cute 1
day 2
days 1
decide 1
decides 1
deciding 1
deeply 1
detention 1
did 2
disc 4
dispute 1
do 1
doctor 1
does 3
each 3
ear 1
effectively 1
elder 1
embarrassed 1
end 1
ended 1
enemy 1
enraged 1
entire 1
erin 26
especially 1
even 1
eventually 2
fact 1
fall 1
family 1
fear 1
feelings 1
feet 1
first 3
for 8
forgive 2
fractured 1
friend 4
friendly 1
friends 1
friendship 1
from 3
gain 1
geeky 1
gel 1
get 1
gets 1
girl 1
girlfriend 1
giving 1
goes 1
good 1
goody 1
grader 1
great 1
had 1
hair 1
happening 1
has 2
hateorama 1
he 4
heartbroken 1
her 32
hers 1
herself 1
his 2
hold 1
holds 1
horrible 1
hospital 1
how 1
hurt 1
if 1
immobility 1
in 10
incident 2
including 1
instead 1
instigating 1
interest 1
intermediate 1
internet 1
into 2
intranet 6
ire 1
is 14
it 2
jilly 16
just 1
keeps 1
kissing 2
know 1
knows 1
later 1
launch 1
launched 1
leaving 1
let 1
life 2
like 1
likes 1
little 1
locker 2
losing 1
love 1
loves 1
lowly 1
made 1
main 1
many 2
mark 10
master 1
mean 2
meanwhile 1
meet 2
meets 1
messages 1
met 1
mind 1
misses 1
molly 1
moment 1
monsters 1
more 4
most 1
much 1
name 1
new 1
nice 1
night 1
nose 1
not 4
notes 3
now 1
of 12
older 1
on 11
once 1
onto 1
or 1
other 4
over 1
own 1
page 1
part 1
people 1
personal 1
pillow 2
pinned 1
play 3
practices 1
pretty 1
private 3
public 1
punches 1
puppet 1
puppeteer 1
put 1
rams 1
receives 3
released 1
result 1
resulting 1
retrieve 1
revealed 1
role 1
rosie 2
ruining 1
sacks 1
said 1
school 6
separated 1
serena 6
seventh 1
she 17
signed 1
significant 1
signs 1
sister 1
smell 1
some 2
spam 1
stanton 1
still 2
suit 1
supports 1
suspects 1
suspicion 1
swift 1
talked 1
teenage 2
than 2
thanksgiving 2
that 7
the 31
there 1
they 4
theyll 1
things 2
thinks 3
this 1
those 1
though 1
three 1
through 2
time 3
to 14
track 2
tracks 1
tries 1
trip 1
tyler 6
under 1
understanding 1
unfortunately 3
up 3
very 1
viceversa 1
walking 1
wants 2
was 3
website 1
well 1
went 1
were 2
what 2
when 1
which 2
while 5
who 1
whom 1
with 7
without 1
write 1
writes 2
written 1
wrote 1
