352250
/m/01zf5s
/m/01zf5s
Richard Adams
1977-09-22
a 6
after 1
and 1
are 1
as 2
attack 1
be 1
been 1
bioweapon 1
book 1
bubonic 1
by 1
carriers 1
could 1
dangerous 1
dialect 1
district 1
dog 1
dogs 3
england 1
escape 1
fear 1
fells 1
ferocious 1
follows 1
fox 1
from 2
geordie 1
government 1
great 1
had 1
help 1
horribly 1
hunt 1
in 3
intensified 1
is 1
journalist 1
lake 1
later 1
live 1
maneating 1
mistreated 1
monsters 1
of 3
on 2
or 1
own 1
plague 1
red 1
reported 1
research 1
rowf 1
sheep 1
snitter 1
some 1
speaks 1
starving 1
station 1
such 1
tells 1
that 1
the 7
their 1
them 1
they 3
this 1
to 1
tod 1
two 1
where 1
which 1
who 1
with 2
