23316639
/m/065_z_0
/m/065_z_0
James A. Owen
2009-10
{"/m/01hmnh": "Fantasy"}
114 1
126 1
142 1
a 6
agent 1
alive 1
all 1
allan 1
alliance 1
allied 1
allowed 1
ancient 1
and 19
animals 1
anyone 1
approaching 1
archimedes 2
archipelago 4
are 7
armada 1
arthur 1
artus 1
as 5
at 2
aven 1
back 1
bacon 1
band 1
bases 1
be 1
becomes 1
betrayed 1
binds 1
bolstered 1
book 1
brought 1
built 1
burn 1
burton 3
but 1
by 10
caliburn 2
can 2
caretakers 5
cartographer 1
cartological 3
carvorite 1
cause 1
chancellor 2
charles 4
chase 1
child 1
children 2
clockwork 1
command 1
country 1
created 1
crosses 1
cs 1
dangerously 1
daniel 1
defeat 1
defect 1
defoe 3
deposits 1
descendant 1
don 1
door 1
down 1
doyle 1
dragon 1
dragons 5
dragonships 1
dreams 1
dyson 2
each 1
edgar 1
emeritis 1
entering 1
even 1
everoutofreach 1
except 1
fall 1
finally 1
foe 1
for 2
forge 1
found 2
fred 1
frees 1
from 4
frontier 1
full 1
fusion 1
future 1
grail 1
grandson 1
had 1
he 1
him 1
himself 1
houdini 1
house 1
however 1
imperial 3
implemented 1
in 9
into 1
is 2
islands 1
isles 3
it 3
itself 1
jack 2
john 2
jrr 1
keep 2
kills 2
king 9
kipling 2
lance 1
last 3
leaving 1
led 1
lewis 1
longer 1
longinus 1
made 1
man 1
meantime 1
merlin 1
mordred 1
murdoch 1
nameless 3
names 2
new 1
no 1
now 1
of 21
own 1
oxford 1
parliament 1
pass 1
past 1
pendragon 1
poe 1
power 1
powerful 1
prevented 1
pushed 1
quixote 2
rages 1
rebuilds 1
red 1
repair 1
reproduction 1
request 1
retrieve 1
return 2
returned 1
reveals 1
richard 1
roger 1
rose 4
rudyard 1
samaranth 2
second 1
sent 1
seven 1
shadow 7
shadows 2
siege 1
sigurdsson 1
silver 1
sir 1
society 3
son 1
soul 1
soulless 1
stellan 1
stephen 2
stolen 1
stones 1
study 1
such 1
summer 1
sword 1
take 1
tamerlane 1
terrible 1
terrifyingly 1
the 59
their 3
they 2
three 1
throne 1
through 1
time 3
tin 1
to 7
together 1
tolkien 1
touches 1
triple 1
true 2
trump 1
tummeler 1
under 1
using 1
war 1
weapon 1
well 1
were 2
when 2
which 2
who 2
wields 2
williams 1
winter 1
with 4
world 1
writerexplorer 1
years 1
