33409691
/m/06w7s8g
/m/06w7s8g
Robert J. Sawyer
2009-04-07
{"/m/06n90": "Science Fiction"}
0 1
15 1
2012 1
a 34
ability 1
able 1
about 3
abstractly 1
act 1
after 3
again 1
agency 1
agent 1
agree 1
agrees 1
airborne 1
all 1
allowing 1
along 2
although 2
an 12
and 38
anna 2
announce 1
announcing 1
another 2
apelanguage 1
are 3
area 1
as 6
asks 1
at 7
attempt 3
attempting 1
attempts 2
austin 1
automata 6
back 5
background 2
barbara 2
be 6
been 2
begins 1
begun 1
behind 1
being 3
believed 1
believes 5
believing 1
bench 1
between 2
beyond 1
bird 2
birdflu 1
birth 1
birthday 1
birthplace 1
blind 1
blindness 1
blog 1
blogger 1
bloodlines 1
bloom 1
bo 1
board 1
bonobo 1
borders 1
bounced 1
break 1
breaks 1
but 1
by 7
caitlin 24
california 1
call 2
can 10
canada 1
captive 1
captured 1
cartographer 1
castrate 1
caused 2
causes 1
cellular 6
censorship 1
centre 1
changcheng 3
character 1
chat 1
chemical 1
chess 1
chimpanzee 1
chimpanzeebonobo 1
chimpanzees 1
china 5
circumvent 1
cleaved 1
coalesce 1
collectively 1
communicate 5
communicates 2
communication 2
communications 4
communist 1
complex 1
complexity 2
computer 1
conference 1
connection 1
contacts 1
contain 1
contamination 1
content 1
continue 2
continues 1
convinced 1
convinces 1
correct 1
corrupted 1
could 2
crashes 1
crossing 1
culling 3
cuts 1
data 4
days 1
decide 3
decides 3
decter 3
decters 1
deduces 1
demand 1
device 3
diego 1
different 2
dimensions 1
directly 1
disappointed 1
discover 1
discretely 1
doctor 1
does 1
double 1
down 2
downloads 1
dr 12
dubbed 1
dubs 1
duplex 6
edge 1
efforts 1
electric 1
eleven 1
email 2
emerged 1
enabled 1
enables 1
enacted 1
enacting 1
engine 1
entropy 4
epidemic 1
estimated 1
everyone 1
exercises 1
eye 2
eyeball 1
eyepod 10
face 1
fails 1
family 1
father 1
fearing 1
feed 2
feels 1
fictional 1
field 1
fifth 1
final 1
finds 1
first 2
flee 1
flu 2
fly 1
for 5
force 1
forwards 1
fourth 1
freedom 1
from 9
further 1
gaining 1
gains 1
gauge 1
georgia 4
girl 1
give 1
glick 1
go 3
graduate 1
grant 1
granting 1
graphs 1
hackers 1
had 2
halves 1
happy 1
harl 1
has 8
have 1
he 9
help 1
helping 1
her 30
him 3
his 6
hobo 8
holds 1
hoping 1
how 5
human 1
hybrid 1
image 1
implant 2
in 21
increased 2
infected 1
information 8
informing 1
informs 2
inputs 1
install 1
instant 1
institute 6
intelligence 10
intelligent 1
interim 1
internet 2
interpreted 1
interspecies 1
invention 1
investigating 1
invites 1
is 25
issue 1
it 24
its 1
jagster 1
japan 1
job 1
jointly 1
keep 2
known 1
kuroda 11
lab 1
language 1
lawsuit 1
leading 1
leaks 1
learn 3
learning 2
learns 1
least 1
left 1
leg 1
letters 1
li 1
light 1
like 1
lines 1
links 1
little 1
living 1
load 1
look 1
looks 2
loss 1
made 2
malcolm 2
many 1
marcuse 5
masayuki 1
means 1
member 1
messenger 1
miami 3
miniature 1
minister 1
mirrored 1
miscoding 1
mode 7
moment 1
monitor 1
more 1
mortality 1
mother 1
moved 1
moving 1
named 1
national 1
negative 1
nerve 2
network 1
new 1
noise 1
not 2
notes 1
now 4
objects 1
occurred 1
of 23
off 1
offers 1
on 7
one 1
online 1
only 2
ontario 1
optic 2
orangutan 1
order 1
orders 1
other 1
outbreak 3
outcry 1
outside 1
over 1
owner 1
packet 1
paint 1
painting 1
paints 1
partial 1
party 1
passed 1
patch 2
people 1
perimeter 1
picks 1
planning 1
plans 1
plot 1
plots 1
police 1
portrait 1
posts 1
president 3
press 1
primate 1
principal 1
procedure 1
processing 2
progress 1
public 1
pupils 1
quan 1
rate 2
react 1
reacts 1
read 1
reading 1
realising 1
realize 1
realizes 3
rebooted 1
reboots 1
receives 4
recommends 1
record 1
reduced 1
related 1
remove 1
replies 1
representation 1
reprocesses 1
research 1
researcher 1
rest 1
restoration 1
restore 1
result 1
retinal 1
retinas 1
return 2
returned 1
returns 1
reward 1
run 2
runs 4
san 1
satellite 1
scan 1
school 2
scientist 2
search 1
second 1
secret 1
security 1
see 7
sees 2
send 1
sending 1
sends 3
senior 1
sent 1
server 3
set 1
sets 2
setting 1
several 3
shannon 4
she 17
shock 1
shortly 1
shoshana 2
should 1
shown 1
shows 1
sight 3
sign 1
signal 2
signals 2
simplex 2
sinanthropus 2
slope 1
so 6
software 3
specialty 1
speculates 2
spontaneously 1
spread 2
sterilized 1
sterilizing 1
still 2
strategy 3
student 1
success 2
suggests 3
surprised 1
surprising 1
switches 2
take 1
takes 1
teaching 1
telephone 1
ten 1
texas 1
thanks 1
that 31
the 93
their 1
them 4
then 3
theoretically 1
theorizes 1
they 5
this 1
thousand 1
threedimensional 1
through 5
time 3
to 59
together 1
tokyo 3
tracked 1
transmitted 1
travel 1
trying 1
two 3
unable 1
unscramble 1
up 5
update 3
use 1
v1 1
via 1
view 1
virgil 2
vision 3
visual 4
visualize 3
waijeng 1
wake 1
was 2
waterloo 2
web 2
webcam 1
webmind 2
websight 5
websites 2
what 1
when 5
which 7
while 4
who 3
whose 1
wide 1
will 3
wireless 1
wishes 1
with 13
wong 1
word 2
work 2
works 2
world 4
would 1
yearold 1
yet 1
zhang 1
zipf 1
zoo 7
