10535507
/m/02qh28f
/m/02qh28f
Ashok Banker
2004
{"/m/06bvp": "Religion"}
a 15
able 2
about 4
accident 1
accuses 1
act 2
actions 1
advantage 1
advice 1
after 2
again 3
agrees 2
ahead 1
aid 1
aided 1
alive 1
all 3
allowed 1
along 1
although 1
always 1
amidst 1
an 2
and 45
angrily 1
annihilated 1
announces 1
any 2
anything 1
appear 1
appears 1
are 6
army 2
around 1
arrest 1
arrival 1
arrives 1
arrow 1
as 6
ashamed 1
asks 2
assumed 1
asura 1
at 4
attempting 1
attempts 1
away 3
axe 1
ayodhya 5
back 4
battle 3
be 1
beautiful 1
because 1
becomes 1
bed 1
been 2
before 3
begins 3
being 2
believe 2
believes 2
belligerently 1
belonged 1
bestow 1
better 1
bharat 1
bharata 2
black 1
bloodied 1
blow 1
body 2
boons 3
borders 1
bow 4
boys 1
brahmastra 1
bride 1
brides 1
briefly 1
brother 2
brothers 1
but 9
by 14
cage 1
call 2
called 2
can 2
catapulted 1
caused 1
celebrate 1
celebration 1
celestial 1
ceremony 1
challenges 1
chambers 3
change 1
chariot 1
chiefs 1
circumstances 1
city 1
claiming 1
closes 1
collectively 1
colors 1
comalike 1
combat 1
come 1
comes 1
conclusion 1
confining 1
confront 1
confronts 1
consciousness 1
conversation 1
coronation 1
costs 1
cousins 1
crime 1
crone 1
crowd 1
crown 1
crowned 1
crying 1
curse 1
dark 2
dasaratha 12
dasharatha 1
dead 3
deal 1
death 2
decides 2
decision 2
declaring 1
decree 1
defeats 1
deformed 1
deliver 1
despite 1
destroy 1
destroyed 1
destroys 1
destruction 1
devilworshipper 1
dharma 1
dharmabound 1
dheeraj 1
dirty 1
discover 2
distracted 1
divine 2
divorces 1
do 1
doing 1
done 2
drug 1
due 1
during 1
dusk 1
dust 1
dying 1
earlier 1
elated 1
eldest 1
elephants 1
employing 1
energy 2
enters 1
entire 3
entirely 1
erupted 1
escapes 1
events 1
evil 2
exact 1
execute 1
exile 1
explain 1
fact 4
fall 1
false 1
fast 1
father 1
feeling 1
few 1
final 2
find 1
first 1
flag 1
flees 2
flowering 1
follow 1
followers 1
following 5
follows 1
for 7
force 1
forced 2
foreseen 1
forest 1
forgo 1
fourteen 1
from 1
fruit 1
fully 1
further 1
ganga 1
gates 1
general 1
gifts 1
girl 1
gives 1
go 3
good 1
grand 1
granting 1
great 2
green 1
greet 1
groomed 1
guard 1
guards 1
had 2
handmaidens 2
has 11
have 1
having 2
he 18
hearing 1
help 3
her 20
here 1
him 14
his 14
history 2
holy 1
home 3
honor 2
horror 2
house 1
however 2
human 2
identified 1
if 1
ill 2
important 1
in 20
incapacitated 1
indirectly 1
injures 1
innocent 1
instructions 1
interrupted 1
into 4
intrigued 1
invasion 3
is 30
it 7
its 1
jatayu 3
kaikeyi 16
kausalya 9
kill 2
killing 1
kills 1
king 1
known 1
knows 1
kosaghar 4
kosala 1
kumar 1
kumbhakarna 1
lakshmana 3
lanka 1
largely 1
later 1
leaders 1
leave 3
leaves 1
led 1
left 2
let 1
lies 2
light 1
lord 2
lose 1
lost 1
lying 1
makes 1
mandavi 1
manipulated 1
manthara 9
mantra 1
marriage 1
married 3
massive 1
mayavic 1
meanwhile 2
meditation 1
mercy 1
misdeeds 1
mithila 2
moments 2
more 2
morning 1
mortal 1
most 1
mother 1
motionless 1
narakportal 1
nearmortally 1
necessary 1
needs 1
new 2
news 1
no 2
not 4
now 3
number 1
nuptials 1
occur 2
of 36
off 3
on 1
once 3
one 3
only 3
or 1
orchestrated 1
order 1
out 2
overheard 1
overnight 1
own 1
palace 2
parashurama 4
party 2
passes 1
paths 1
penance 1
penances 1
performed 1
performing 2
picks 1
piece 1
plains 1
pleading 1
point 1
pomp 1
portal 1
possess 1
power 2
powerful 1
powers 2
prepare 1
presence 1
previously 1
prince 1
princes 2
prison 1
projected 1
promised 1
promises 2
proud 1
pushpak 1
put 1
quietly 1
raats 1
rage 1
rakshasas 1
rama 21
ravana 12
realizes 1
realizing 2
rebellious 1
receiving 1
reduced 1
refuses 2
regardless 1
regentship 1
release 2
relents 1
reluctantly 1
remaining 1
remains 1
replaced 1
replies 1
request 1
rescued 1
respectively 1
responsible 1
return 1
returned 1
returning 1
returns 1
revealed 1
reveals 4
revelation 1
revived 1
rituals 1
royal 3
run 1
sacrifices 1
save 2
saw 1
saying 1
seconds 1
see 1
seen 1
sees 2
shambles 1
shaped 1
shatrughna 1
she 18
shiva 2
should 1
show 2
shrine 1
shrutakirti 1
siege 1
single 2
singlehandedly 1
sita 3
skeptical 1
slaughter 1
small 1
something 1
somewhat 1
son 1
soon 1
sorcery 1
south 1
speak 1
split 1
squabbling 1
stalks 1
state 1
states 1
still 1
stopped 1
story 1
streets 2
subsequently 1
suhaag 1
sumitra 2
surprised 1
survivor 1
swears 1
taken 3
takes 1
tearfully 1
tells 3
than 1
that 27
the 75
their 5
then 2
there 1
they 5
things 1
think 1
this 3
threatens 2
through 1
time 1
to 62
trace 1
transpired 1
trapped 1
travels 1
trials 1
true 1
turns 1
two 3
unable 1
under 1
unrevealed 1
unto 1
up 2
upon 7
upset 1
urmila 1
use 1
used 1
using 1
utters 1
vashishta 6
very 1
vibhishana 6
vimana 1
vishnu 1
vishwamitra 1
visited 1
voice 1
vow 1
wanders 1
warn 1
warrior 1
wars 1
was 6
washed 1
waters 1
way 1
weapon 1
wedding 2
welcome 1
what 2
when 3
where 2
which 5
while 4
who 6
wife 1
will 4
witch 1
witchcraft 1
with 19
witness 1
woman 2
womb 1
world 1
wounded 1
wrong 1
years 1
