1195051
/m/04gbkc
/m/04gbkc
Isabel Allende
1982
{"/m/012jgz": "Autobiographical novel", "/m/06n90": "Science Fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0127jb": "Magic realism"}
a 34
about 1
accepts 1
accidentally 1
accompanied 1
account 1
action 1
actions 1
actual 1
actually 1
admit 1
after 9
afterwards 1
again 5
against 1
agrees 1
alba 19
all 1
along 2
also 1
although 4
always 1
amanda 7
america 1
an 7
and 52
are 5
arms 1
around 2
arrival 1
arriving 1
artists 1
as 7
ask 1
asked 1
at 6
attempts 2
attends 1
autopsy 1
avoided 1
back 3
banished 1
basement 1
bastard 1
be 4
beautiful 2
because 1
become 3
becomes 6
been 1
befriends 1
begins 2
believing 1
bewitched 1
big 2
birth 4
blames 1
blanca 13
boarding 1
body 1
book 1
both 1
boy 2
boys 2
broken 2
brother 1
brutally 1
builds 1
but 8
by 9
calls 1
can 3
canada 1
cannot 1
capital 2
catches 1
caused 1
causes 1
celebrates 1
child 4
children 3
city 4
clara 20
classes 1
closest 1
college 1
colonel 1
combination 1
come 1
comes 2
communist 1
communistsocialist 1
completing 1
concocts 1
conservative 2
continues 2
control 2
convent 1
corner 2
corrupt 1
count 2
coup 3
couple 1
cowardly 1
crafty 1
curses 1
cutting 1
cycle 2
dating 1
daughter 5
daughters 1
day 1
days 1
de 2
dearly 1
death 5
decides 2
dedication 1
del 3
departure 1
deserts 1
desire 1
desperate 1
destroys 1
detailed 1
devastated 1
develop 1
developing 1
develops 1
devoting 1
diary 1
dictatorship 1
die 2
dies 2
discovers 1
do 1
doctor 2
does 2
dog 2
down 1
dreamy 1
due 1
during 5
dying 2
each 1
earlier 1
earnsforces 1
earthquake 1
easily 1
eliminate 1
empathetic 1
engagement 2
english 1
enjoys 1
enraged 1
esteban 28
eventual 1
eventually 6
ever 1
every 1
everyone 1
except 1
explains 1
expresses 1
fakes 1
falls 1
family 9
fantasies 1
father 5
fearful 1
fearing 1
feelings 1
fellow 1
few 1
fianc 1
filled 1
finally 1
find 1
finds 2
fingers 1
first 5
flee 1
flock 1
focusing 1
fond 3
for 19
foreman 2
free 1
french 2
friend 1
friendprostitute 1
from 5
front 1
frula 4
fulfill 1
fulfills 1
furies 1
furious 1
furiously 1
future 2
garca 7
generations 1
gets 2
getting 1
gives 1
giving 1
goes 2
good 1
government 3
grandson 1
green 1
greenhaired 1
grief 1
grow 1
grown 1
hacienda 7
had 2
hair 1
hand 1
handicapped 1
happens 1
happiness 2
happy 1
has 6
hate 1
hatred 1
have 6
having 1
he 22
head 1
heart 1
help 2
helping 2
helps 1
her 40
herself 2
him 16
himself 2
his 24
honor 1
hope 1
horror 1
house 9
household 1
however 3
human 1
hunting 1
husband 1
ideas 1
illegitimate 1
illness 1
immediately 1
in 19
income 1
inevitably 1
information 1
informing 1
inheritance 1
injured 2
intended 1
intimidation 1
into 4
introduced 1
involves 1
is 23
isolated 1
it 1
jaime 7
jean 2
keeps 2
kicked 1
kidnapped 1
killed 3
knocking 1
know 1
labor 1
large 1
las 2
later 4
leaves 2
leaving 1
legitimate 1
life 5
like 2
little 1
live 4
living 1
local 2
located 1
lonely 1
looking 1
loses 1
love 4
lover 2
lovers 1
loves 1
luck 1
made 1
maiden 1
makebelieve 1
man 2
manages 1
mansion 1
many 1
maras 7
marriage 1
marry 2
matter 1
meet 1
meets 1
member 1
memoir 1
men 1
mend 1
mentally 1
miguel 7
military 4
miner 1
misses 1
model 1
molests 1
moneymaking 1
monopolize 1
months 1
mother 2
motion 1
motto 1
move 2
movement 1
moves 2
moving 1
name 1
named 4
names 1
near 2
need 1
nervous 1
never 3
new 1
newlyweds 1
nicolas 1
nicols 3
nightly 1
nine 1
north 1
not 8
now 2
of 34
off 1
old 1
older 1
oldest 1
on 7
once 1
one 1
only 1
opposition 1
or 1
originally 2
other 2
others 1
out 9
overwhelmed 1
painting 1
pancha 3
paranormal 1
part 1
participation 1
party 2
pass 1
passive 1
peacefully 1
peasant 3
peasants 1
