11323763
/m/02r7r9b
/m/02r7r9b
Jacqueline Wilson
1996-05-02
10yearold 1
a 11
about 1
adventures 1
afraid 1
after 1
again 2
allows 1
also 1
an 2
and 13
angry 1
another 1
anything 1
appearance 1
are 3
arthur 1
as 4
assuring 1
at 3
avoid 1
baby 1
be 2
become 2
becomes 2
been 1
being 1
best 1
book 1
boy 1
brief 1
bullies 1
bus 1
but 4
by 4
can 1
case 1
caught 1
childish 1
class 1
classmates 1
clothing 1
convictions 1
criminal 1
crossing 1
day 1
decides 1
despite 1
difficulty 1
disapproval 1
discovered 1
discovers 1
door 1
dream 1
dreamed 1
dustbin 1
dyslexia 1
each 2
elderly 1
end 1
ends 1
families 1
fantastic 1
fantasy 1
fast 1
forbidden 1
forever 1
foster 2
fostered 1
free 2
frequent 1
friend 2
friends 4
from 5
future 1
gains 1
get 1
girl 1
girls 1
glasses 1
great 1
greatly 1
had 2
hair 1
happy 1
has 3
hates 1
have 1
her 9
hit 1
home 2
homes 1
if 1
in 6
incident 1
independent 1
initially 1
is 7
jacqueline 1
kept 1
kim 2
letter 1
live 1
lively 1
look 1
makes 1
mandy 9
meets 1
melanie 2
mercilessly 1
misses 1
mother 2
much 1
nearly 1
neighbour 1
new 3
next 1
not 1
note 1
novel 1
novels 1
obsessed 1
of 4
older 2
on 1
one 1
other 2
overprotective 1
past 1
police 1
previous 1
quite 1
realises 1
restyle 1
road 1
sarah 2
say 1
school 2
see 1
she 7
shop 1
shoplifter 1
shy 1
so 1
steals 1
stories 1
strict 1
taken 1
tanya 7
that 2
the 6
they 5
three 1
to 6
together 1
too 1
tormented 1
town 1
treats 1
upmarket 1
very 1
visiting 1
was 2
were 2
when 3
where 2
while 1
white 1
who 5
will 2
wilson 1
with 5
wont 1
writing 1
written 1
younger 1
