4683624
/m/0ch4jh
/m/0ch4jh
Herman Wouk
1948
11yearold 1
120s 1
128 1
50 2
a 15
abject 1
adolescence 1
adult 1
against 1
aging 1
all 1
also 1
although 1
among 1
an 5
and 18
apartment 1
arguing 1
around 2
as 3
at 5
athlete 1
avenue 1
be 2
berkshire 1
best 1
blessed 1
block 2
bookbinder 3
borowsky 1
both 2
bottom 1
boy 4
bright 1
bronx 1
burglarize 1
business 1
but 2
by 3
camp 5
campfire 1
candy 1
city 2
cliff 3
climax 1
clumsiness 1
come 1
consequences 1
constantly 1
continuing 1
contrive 1
contrives 1
cost 1
cousin 2
crime 1
cursed 1
daydreams 1
days 1
device 1
dickensian 1
dinner 1
dwell 1
eating 1
empty 1
endless 1
even 1
exceptionally 1
failures 1
fashion 1
fashions 1
fat 1
fate 1
father 1
felicia 1
fickle 1
final 1
finance 1
first 1
follows 1
for 2
forbidden 1
founder 1
frames 1
fraps 1
friends 1
from 1
gauss 1
glass 2
going 2
golden 1
grader 1
guy 1
half 1
have 1
he 1
heart 1
herbert 1
herbie 12
highlyactive 1
himself 1
his 12
homer 1
house 1
icemaking 1
if 1
imagination 1
in 8
income 1
industrial 1
is 5
it 1
jacob 2
jewish 1
known 1
krieger 1
learns 1
lennie 2
little 1
location 1
lots 1
lucille 3
manitou 2
moral 1
mountains 1
movies 1
mr 2
natural 1
new 2
not 1
novel 2
of 16
on 2
one 1
operated 1
out 1
own 1
owner 1
parents 1
part 1
partner 1
peers 1
place 2
plant 1
playing 1
plays 1
pleasures 1
poor 1
preaching 1
principal 2
project 1
proves 1
ps 1
psyche 1
public 1
pupil 1
quest 2
quick 1
redhaired 1
regular 1
restaurant 1
revolves 1
rival 2
role 1
run 1
saturday 1
scene 1
school 3
schoolboy 1
second 1
sent 1
set 1
sets 1
seventh 1
significant 1
sister 2
skewers 1
small 1
son 1
source 1
spectacular 1
spent 1
spins 1
spring 1
star 1
store 1
story 2
struggles 1
subplot 1
subplots 1
successes 1
succession 1
summer 5
sundaes 1
tale 2
tenuous 1
that 4
the 28
then 1
there 1
thirteenyearold 1
through 2
to 11
together 1
up 1
urban 1
verge 1
victory 1
wellintended 1
when 1
which 1
will 1
win 1
wit 1
with 3
without 1
world 1
wouk 1
yearns 1
york 2
