4632423
/m/0cdm94
/m/0cdm94
Charles Frazier
1997
a 9
ada 6
affected 1
again 1
aided 1
alike 1
alternates 1
america 1
an 1
and 11
are 1
army 2
as 1
at 4
attempt 1
back 1
battle 1
before 1
begins 1
believed 1
between 1
black 1
bleak 1
brief 2
by 2
carolina 1
cause 1
charleston 1
circumstances 1
citizens 1
citybred 1
civil 1
close 1
cold 4
combatants 1
community 1
confederate 2
constant 1
course 1
cove 1
dangerous 1
daughter 1
decides 1
departed 1
depicts 1
desert 2
deserters 1
desperate 1
details 1
dies 1
disrepair 1
down 1
drives 1
during 1
each 1
emotional 1
environment 1
epic 1
equally 1
extreme 1
faces 1
farm 1
father 1
fighting 1
flashback 1
focusing 1
for 4
form 1
frazier 1
friendship 1
from 3
genteel 1
guard 1
harassment 1
harsh 1
he 4
help 1
her 1
his 2
history 1
home 3
hope 1
horrors 1
hospital 1
in 6
individuals 1
inman 5
intervals 1
is 5
it 1
journey 4
knew 1
landscape 1
largely 1
left 1
lives 1
longing 1
make 1
military 1
minister 1
monroe 1
mountain 5
moves 1
named 2
narrative 2
never 1
north 1
novel 2
of 13
on 2
only 1
opens 1
other 2
out 1
outspoken 1
over 1
overcome 1
perilous 1
protagonist 1
psychological 1
recent 1
recently 1
recovering 1
reduced 1
relocated 1
resourceful 1
return 1
ruby 1
rural 1
scars 1
seeing 1
sent 1
sets 1
soon 3
starvation 1
state 1
story 1
strangers 1
survive 1
that 2
the 21
their 1
them 1
they 2
this 1
though 1
time 1
times 1
tired 1
to 11
together 1
told 1
track 1
treachery 1
two 1
upon 1
war 3
wartorn 1
weather 1
where 2
woman 1
wound 1
young 1
