3698358
/m/09w07k
/m/09w07k
Lee Goldberg
2006-01-03
{"/m/02n4kr": "Mystery"}
100 1
1000 1
10s 1
11 2
120 1
170 1
18 1
20 1
3 1
30 2
a 107
abandoned 1
ability 1
able 1
about 23
abuse 1
abusive 1
accepts 1
accident 3
accidentally 1
accompany 1
across 3
acting 1
acts 1
add 1
additionally 1
adrian 2
ads 1
affairs 1
after 9
afternoon 3
afterwards 2
again 1
against 1
agency 3
ago 6
agoraphobic 1
agreement 1
aiming 1
air 1
alan 4
alibi 1
all 7
allegedly 1
allowed 1
allows 1
along 1
already 1
also 13
alternate 1
although 6
alzheimers 1
ambrose 1
an 20
and 154
angle 1
angry 1
anonymous 1
anonymously 1
another 3
answer 1
antitheft 1
any 6
anyone 1
apartment 9
apologies 1
apparently 3
appointment 3
are 10
area 1
arent 1
around 4
arrange 1
arrest 4
arrested 1
arresting 1
arrests 3
arrive 3
arrived 1
arrives 3
arriving 1
article 4
as 36
ask 3
asked 2
asking 5
asks 5
assistant 2
assumed 1
at 67
atf 1
attacked 4
attacks 1
attempted 1
attended 1
attention 1
atwater 5
authority 1
avoid 1
away 3
back 15
background 1
badly 1
bags 1
banged 1
banning 1
bar 3
barbershop 3
bark 1
barks 1
barnes 2
bay 1
be 15
beauty 1
became 3
because 4
becomes 1
becoming 1
bed 2
bedard 3
beefeater 2
been 15
before 7
behind 1
being 8
bell 5
belongs 1
benefits 1
berkeley 1
best 1
betraying 1
between 2
bicycle 1
big 1
bike 1
bill 7
blackmail 1
blood 1
body 4
borrows 1
both 7
bought 1
braddock 38
bragging 1
brawl 1
break 5
bribes 1
bricks 1
bring 2
brother 1
brought 2
budget 4
buick 1
bullitt 1
burglary 1
burst 1
business 2
busy 1
but 20
buy 1
buying 1
by 12
california 2
call 9
called 1
caller 1
calling 3
calls 13
came 3
can 5
cannot 1
cant 4
captain 17
car 5
care 1
career 2
careful 1
carnagie 1
carnegie 11
carnegies 1
carol 11
carrying 1
cars 1
cartload 1
case 15
cases 5
caught 1
causes 2
cell 3
cells 1
chair 4
change 1
charges 1
check 1
checking 1
chest 1
chief 1
children 1
chronicle 1
circumstances 1
claim 1
claims 2
clarence 1
class 1
clean 1
clear 6
clearance 1
cleared 1
clearing 1
client 4
cliff 1
close 1
closer 1
clues 2
coast 1
coastal 1
coffee 2
color 1
come 4
comes 2
comfort 1
comfortable 1
comforter 1
communicate 1
company 5
competition 1
computers 1
conditioning 1
conference 7
confession 1
confidential 2
confirmed 2
confront 1
confronts 2
congratulates 1
connected 1
connection 2
conrad 1
consider 1
considering 1
consistent 1
constantly 1
consultant 5
consulting 2
continental 2
continues 1
contract 1
convention 1
conversation 2
convinced 1
convinces 1
cop 2
cops 3
could 6
couldnt 1
course 1
cowan 5
crazy 1
created 1
creates 1
creatures 1
crime 9
crimes 1
crossing 1
crossword 1
cup 1
curious 1
cuts 2
dalberg 3
danielle 29
daughter 3
day 5
days 1
dead 6
death 5
debate 1
decision 1
declared 1
defensive 1
deliver 1
dementia 3
demonstrate 1
dental 1
department 8
describes 2
desert 1
desk 1
desperate 1
destroy 1
detective 7
detectives 1
devices 2
devon 1
diagnosed 2
dial 1
diamond 1
diaper 4
diapers 1
did 1
didnt 3
died 2
different 1
dirty 1
discovered 1
disher 26
disinfects 1
distance 2
distracted 1
disturbed 1
ditches 1
division 1
do 3
does 3
doesnt 2
dog 4
doing 5
dont 1
door 2
dorchester 1
down 4
downtown 1
dr 6
dressed 1
drifted 1
drinking 1
drive 3
driver 1
driving 2
drop 2
drops 1
due 1
during 3
each 1
earlier 1
early 2
easiest 1
eat 1
eating 1
effectively 1
egg 1
either 1
elevator 2
eliminated 1
employee 1
employers 1
employment 1
empties 1
encounter 2
ends 1
enter 1
entered 1
enterprises 2
enters 1
entirely 1
episode 3
erased 1
errands 1
essentially 1
estate 1
even 10
events 1
eventually 1
ever 1
every 1
everyone 2
everything 1
everywhere 1
evidence 1
exact 1
exacted 1
exactly 3
examiner 1
examining 2
exhausted 1
exonerated 1
expects 1
explain 4
explaining 2
explains 15
expose 1
eye 1
eyes 1
facebook 1
fact 3
faking 1
false 1
family 1
fancy 1
far 2
father 6
fatherinlaw 1
fbi 1
feds 1
feeling 1
female 1
few 1
fibers 2
fifth 1
fight 1
figured 1
figures 1
file 3
files 7
fill 1
film 1
find 5
finds 8
fingerprints 4
finishes 2
firearms 1
fired 3
first 6
fish 1
five 1
fiveminute 1
fleming 1
floor 1
focusing 1
fog 1
follow 2
following 1
follows 2
footage 1
for 39
force 1
ford 1
forensics 1
forget 1
fought 2
found 6
four 1
frame 2
framed 1
francisco 6
freaks 1
friend 2
friends 1
from 23
front 2
gambling 1
gang 1
gate 1
gave 4
genie 2
genies 2
germany 1
get 6
gets 1
getting 3
given 1
gives 1
giving 2
glass 7
glasses 1
glory 1
go 2
godfather 2
goes 7
going 4
golden 2
good 2
goose 1
got 4
gotten 1
gps 2
grabbed 2
grass 3
great 2
ground 1
group 1
guarantee 1
guilt 1
guilty 1
gumball 1
gummersall 1
gun 7
gunman 1
gunned 1
guy 1
had 12
half 1
hand 1
handlebars 1
hands 1
hang 1
happen 1
happened 2
happening 1
happens 1
happy 2
has 38
hasnt 1
have 17
having 2
hawaii 1
he 101
head 4
heading 1
headquarters 1
hear 1
heard 2
hearing 3
held 1
helicopter 1
help 3
helped 1
her 40
here 2
herself 1
hetzer 1
hidden 1
hide 1
high 1
him 28
himself 7
hire 2
hired 1
his 66
hit 4
hitandrun 1
home 1
homeland 1
homes 1
homicide 4
hones 1
hopes 1
hossack 1
hotel 9
hotline 2
house 8
how 15
however 5
humiliate 1
humiliated 2
hunch 1
husband 7
hy 1
id 1
identical 1
if 4
immediately 2
important 1
impression 1
improve 1
improved 1
in 68
increase 1
incredibly 1
infers 1
informant 3
information 5
informing 1
informs 2
infuriated 2
injuries 1
innocence 1
innocent 1
inside 2
instances 1
instead 1
instructed 1
instructs 1
insurance 1
internal 1
intertect 14
intervene 1
interview 2
into 14
intouchspace 8
intruder 3
invasion 1
invested 1
investigate 2
investing 1
investment 5
investments 1
investor 1
involved 2
involving 1
ironed 1
is 74
isnt 2
issue 2
it 31
its 1
jack 1
jackal 1
jacket 1
jail 3
japanese 1
jeremiah 1
jewelry 1
joanne 1
job 4
joining 1
judge 5
judges 1
judging 1
julie 5
jumped 1
jumpsuit 1
just 9
keep 1
keeping 1
keeps 1
kept 1
keylogger 1
kill 3
killed 9
killer 5
killing 3
kills 1
knew 4
knocks 2
know 5
knowing 4
known 1
labs 1
lack 1
lady 1
laid 1
lansdale 5
large 1
late 1
later 5
lead 1
leaps 1
leave 2
leaves 1
leaving 2
left 1
legs 2
leland 1
lexus 4
lieutenant 2
life 2
like 13
linda 11
line 2
list 1
little 1
lives 1
living 1
loans 1
lobby 1
lobsters 1
longer 2
look 11
looking 3
loose 1
lost 1
lot 1
lou 1
loyal 1
loyalty 2
lucarelli 14
lucerne 1
luck 1
lured 1
machine 2
made 3
madly 1
maiden 1
make 6
making 1
man 8
maniac 1
manufacturing 1
many 2
market 1
married 1
massacre 1
match 3
matches 1
matter 1
may 1
mcqueen 1
meaning 1
means 1
meanwhile 4
medical 1
meet 5
meeting 1
meets 2
members 1
men 1
mendocino 3
mentioning 1
mentions 1
mentor 1
messes 1
met 5
meth 1
methods 1
metropolitan 1
middle 1
might 2
mill 2
mint 1
minutes 2
miserable 1
missing 2
mission 1
mob 2
mobile 1
moderator 2
money 5
monk 115
months 2
mood 1
more 4
morning 7
most 2
motions 1
motive 3
motorcycling 1
moved 1
mr 4
much 6
murder 13
murdered 2
murders 2
muting 1
myspace 1
mystery 1
name 10
named 1
names 1
narrated 1
narrating 1
natalie 82
naturally 1
nausea 1
nauseous 1
neck 2
need 3
networking 2
never 5
new 7
next 8
nicholas 2
nickname 1
night 6
no 5
noble 2
not 13
note 1
notice 1
notsosmart 1
novel 2
novels 1
now 6
obituary 1
observe 1
observed 1
observes 1
obsession 1
obvious 1
obviously 1
odd 2
odds 1
of 61
off 8
offenders 1
office 8
officers 1
officially 2
old 2
oldman 1
on 36
once 1
one 4
only 6
onto 1
open 5
openandshut 1
operating 1
opportunity 1
or 4
other 4
otherwise 3
out 12
outside 1
over 7
overload 1
own 6
owned 1
page 1
paid 4
painful 1
pants 1
papers 1
paperwork 1
park 2
parking 1
part 3
partner 1
pass 1
past 1
patients 1
paul 4
pay 1
paying 2
payroll 1
pediatrician 1
pennies 1
people 4
person 2
peschel 33
phil 9
phillip 1
phone 5
phones 1
photos 1
picks 1
piece 1
pile 1
place 2
placed 1
places 1
plan 1
planned 1
planning 1
planted 2
plastic 1
played 1
pleasant 1
pleased 1
pm 2
point 2
pointed 2
points 1
police 15
political 1
polyester 1
pool 2
posed 1
posing 1
position 1
possibility 1
possible 4
prepares 2
preside 2
pressed 1
pretense 1
prevent 2
prevents 1
previous 1
prison 2
private 5
probably 3
professor 1
profits 1
programs 1
promoted 1
proof 1
prosperous 1
protection 1
prove 3
proven 1
proves 3
provide 1
psychopath 1
pulls 2
pursues 1
pursuing 2
pushed 1
put 2
puzzles 1
questions 1
quickly 2
quit 1
racket 1
raging 1
ran 1
randy 5
ransacked 1
rate 1
rather 2
reach 1
read 1
reading 2
realized 3
realizes 5
really 1
recalls 1
receives 1
recently 1
reconsider 2
recording 1
records 1
reduced 1
refers 1
regards 2
rehire 1
rehired 1
released 2
releases 1
remark 1
remembers 6
removing 1
repeating 1
reputation 1
research 1
respected 1
responsible 2
restaurant 1
retired 1
retrieve 1
return 1
returning 1
reveals 1
revenge 2
reviewing 1
reviews 1
rhonda 5
rich 2
right 1
rings 1
risk 2
road 3
rookie 1
room 8
round 1
ruining 1
run 1
running 4
runs 1
said 2
salon 1
salvatore 5
same 5
san 6
saw 2
say 4
saying 2
says 11
scene 13
school 1
screams 1
screeching 1
sea 2
search 2
season 1
seat 1
secrets 1
security 3
see 2
seeing 1
seeking 3
seems 1
seen 2
selfdefense 1
send 1
sending 1
senile 1
sent 2
sessions 3
set 1
setting 1
seventh 1
several 8
sfpd 4
sharona 1
she 29
shell 1
shocked 1
shoes 1
shoot 2
shooter 2
shooting 2
shop 1
shoplifting 1
short 4
shortly 1
shot 6
should 1
shouldnt 1
show 2
showed 1
shows 2
silence 1
silencer 1
similar 1
simply 1
since 12
sink 2
sit 1
site 2
sits 2
sitting 1
situation 1
sixmonthold 1
skills 1
skin 2
slade 53
slap 1
smashandgrab 2
smuggle 1
snag 1
snatches 1
sneak 1
so 7
social 2
socks 1
sold 5
solve 1
solved 1
solves 1
solving 1
some 8
someone 6
something 2
somewhere 2
son 1
soon 3
sounds 2
spark 1
specifically 1
speed 1
spends 1
spy 1
squad 1
squeeze 1
squeezes 1
stabbed 1
stage 2
staged 2
stains 1
stakeout 2
stand 1
standing 1
stanton 8
starring 1
start 4
started 4
starts 3
statements 1
states 3
station 3
stations 1
staying 1
steps 1
steve 6
still 6
stock 4
stole 1
stolen 1
stood 2
stop 2
stops 1
stores 1
story 2
stottlemeyer 54
strange 1
stranger 2
strangers 1
strangled 2
strangulation 1
strategic 1
street 2
struggle 1
subplot 1
suffering 1
suffocated 2
suggesting 1
suggests 3
suicide 3
suit 2
surveillance 1
suspect 2
switch 1
systems 2
take 2
takes 1
taking 3
talk 2
talked 1
talking 5
tape 2
tapes 1
taunts 1
tavern 6
taxicab 1
team 2
teeger 1
tell 2
telling 1
tells 12
tempted 1
ten 5
tenderloin 1
test 1
thanking 1
thanks 1
that 127
the 313
their 13
them 27
then 6
theory 1
there 7
these 3
they 34
thing 1
things 3
think 2
thinking 2
thinks 2
thirdperson 1
this 10
those 1
though 2
thought 3
threatened 1
threatening 1
threatens 1
threats 1
three 1
threw 1
through 4
thrown 1
tie 9
tighten 1
time 7
tip 3
tips 7
to 192
together 1
told 3
too 7
took 3
top 1
tour 1
towards 3
town 2
traced 2
traces 1
track 3
tracking 2
trades 1
trained 1
transfer 1
transitions 1
trash 2
travel 1
treads 1
trial 4
tried 1
tries 1
true 1
try 1
trying 4
tube 1
turned 1
turns 3
tv 1
twice 1
twist 1
twisted 1
two 1
type 2
under 2
understand 1
undoing 1
unfortunately 1
university 1
unless 1
unplugs 1
until 5
unusual 1
up 16
uppermiddleclass 1
us 1
use 4
used 6
uses 2
using 4
vacation 1
valley 2
valuable 1
vanished 1
very 2
vice 1
victims 1
violent 1
void 1
vomits 1
wait 1
wake 2
walked 2
walking 2
walks 2
wall 1
walmart 1
want 1
wanted 3
wanting 1
war 1
warehouse 2
warrant 1
was 60
washed 1
washing 1
wasnt 1
way 7
ways 1
wearing 1
week 1
weeks 1
weight 2
well 4
went 5
were 6
west 1
what 8
wheelchair 1
wheeling 1
when 29
where 5
whether 1
which 5
while 4
white 1
who 21
whoever 1
whom 1
why 3
wichita 2
wickersham 5
widow 2
wife 2
will 8
william 1
willing 1
wire 1
wired 1
wiretaps 1
with 35
within 1
without 2
witnessed 1
woman 3
wonderful 1
wont 1
work 8
worked 3
working 4
works 1
worried 1
worse 1
would 10
wounds 1
wracked 1
writer 1
