1275389
/m/04pbb6
/m/04pbb6
John Gardner
1983-07-07
{"/m/06wkf": "Spy fiction"}
a 6
action 2
adolf 1
again 1
agencies 1
agent 3
agents 2
allegiance 1
alliance 1
also 1
although 1
american 1
an 1
and 7
another 1
appearing 1
appears 1
arctic 1
army 2
arne 1
around 1
as 4
assignment 1
be 4
become 1
bond 3
cahoots 1
capturing 1
carlsson 1
cia 1
communist 1
complicated 1
count 2
dangerous 2
daughter 1
doublecrosses 2
doublecrossing 1
doubt 1
driving 1
dubbed 1
each 1
equally 1
erik 1
essentially 1
even 3
fascism 1
finds 1
first 1
for 3
from 2
full 1
gets 1
glda 2
gldatudeer 1
go 1
good 2
guy 2
her 1
him 1
himself 2
hitler 1
hopes 1
icebreaker 1
in 3
instance 1
interrogation 1
into 1
involving 1
is 4
israel 1
israeli 1
job 1
kgb 2
known 1
konrad 1
later 2
leader 1
leaders 1
legitimate 1
loyalties 1
means 1
mission 1
more 1
mossad 1
murderous 1
national 2
nazi 1
new 2
no 1
novel 1
now 1
nsaa 1
of 7
officer 1
once 1
one 1
onetime 1
ostensibly 1
other 1
out 2
perceives 1
preparation 1
recruited 1
reluctantly 1
revealed 1
rivke 1
root 1
russian 1
several 1
sharing 1
socialist 2
soviet 1
ss 1
states 1
still 1
supporters 1
team 1
the 15
their 2
then 2
things 1
this 1
time 1
to 6
training 1
treacherous 1
triplecrosses 1
true 1
tudeer 1
union 1
united 1
used 1
von 3
waste 1
wave 1
weeks 1
when 1
where 1
who 1
wipe 1
with 2
without 1
world 1
