31196347
/m/0gjb4q5
/m/0gjb4q5
Anthony Trollope


a 6
abusive 1
accept 1
accepts 2
acquaintance 1
affection 2
after 1
allow 1
although 2
amedroz 2
an 3
and 14
another 1
appalled 1
as 1
aside 1
askerton 3
askertons 1
at 2
awkward 1
aylmer 9
be 2
been 1
before 1
believes 2
belton 10
betrothed 1
bliss 1
bring 2
brother 1
but 1
by 2
can 1
cannot 1
captain 2
cast 1
castle 2
ceased 1
child 1
clara 8
clear 1
cold 1
colonel 1
come 1
comes 1
comfort 1
committed 1
compared 1
concerned 1
cousin 1
days 1
death 2
declares 1
demands 1
depend 1
despite 1
dies 1
dissipated 1
distant 1
domineering 1
drunken 1
duly 1
eagerly 1
elderly 1
eligible 1
end 1
engagement 1
ensues 1
entailed 1
estate 1
exerts 1
expects 1
extravagances 1
family 1
father 2
feeling 1
fianc 1
final 1
for 5
four 1
frederic 1
freed 1
friend 2
friendship 1
from 2
generous 1
given 1
goes 1
happiness 2
has 6
have 1
he 3
her 25
herself 5
him 4
his 7
hospitality 1
however 3
husband 2
immorality 1
impeccable 1
impression 1
in 5
income 1
india 1
is 9
it 2
kind 1
lady 4
learned 1
left 1
live 1
lived 1
living 1
long 1
love 3
make 2
making 1
man 1
manners 1
marital 1
marriage 1
marry 2
mary 1
member 1
miserable 1
money 1
more 1
moreover 1
mother 1
mr 1
mrs 2
never 1
new 1
no 3
not 1
of 9
off 1
offer 1
offers 2
old 1
on 3
one 1
only 2
or 1
own 1
parliament 1
pass 1
past 1
pay 1
persuade 1
poor 1
pressed 1
proposes 2
prospects 1
proves 1
put 1
qualities 1
realizes 1
regard 1
rejects 1
relentlessly 1
remain 1
returns 1
savings 1
scruples 1
sever 1
several 1
shallow 1
she 11
shortlived 1
show 1
signs 1
since 1
sister 2
smooth 1
someone 1
somersetshire 2
son 1
sons 1
squire 1
straw 1
strong 1
subject 2
subsequently 1
suicide 1
suitors 1
support 1
surviving 1
than 1
that 5
the 9
there 1
thereafter 1
these 1
ties 1
title 1
to 24
toward 1
transfer 1
twentyfive 1
two 1
unjust 1
unmarried 1
unpolished 1
upon 1
urbane 1
urging 1
wants 1
warmhearted 1
way 1
wellread 1
when 1
where 1
which 1
who 3
will 6
with 6
withhold 1
within 1
woman 1
worthy 1
would 2
wrong 1
years 1
yorkshire 1
