7910922
/m/026jqd2
/m/026jqd2
Meg Cabot
2004-11-05
{"/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 32
abandoned 1
abilities 1
able 1
about 3
adam 2
after 3
agrees 1
all 2
alleged 1
allow 1
allowed 1
alone 1
an 1
and 35
animal 1
anxiously 1
anyone 1
appear 1
appeared 2
appears 1
aquarium 2
are 2
around 1
arrives 1
as 10
ask 2
asked 2
asking 1
asks 2
asleep 1
at 8
aunt 4
avoid 1
away 1
backseat 1
barred 1
be 5
beaumont 20
because 4
become 1
bedroom 3
before 1
beginning 1
begins 1
behavior 1
being 1
believes 1
boat 1
boots 1
both 1
boy 1
boyfriend 1
brad 1
breaks 1
brother 2
building 2
bulb 1
burning 1
business 1
businessman 1
busted 1
but 6
by 5
call 1
called 3
cant 1
captured 1
car 2
cards 1
cat 4
catches 1
caught 1
cause 1
cee 10
ceecee 1
chance 1
change 2
check 1
chest 1
circuit 1
claiming 1
clump 1
coffee 1
comanpies 1
comes 1
confirms 1
contact 1
contracting 1
conversation 1
cord 1
could 1
dad 1
dances 1
days 1
death 1
delivers 1
denies 1
did 1
dinner 1
disagrees 1
disappearances 3
disappears 1
disconcerted 1
discovering 1
discovers 1
dislikes 1
do 1
doc 3
does 2
doesnt 1
dominic 2
dream 2
drive 1
drops 1
drowned 1
drugs 1
during 1
duty 1
eager 1
electrocuting 1
elevator 1
encounter 1
encounters 1
ends 1
escape 2
escorts 1
estate 1
even 1
exist 1
expanding 1
expected 1
explains 1
fails 2
falling 1
father 2
feeling 1
fellow 1
field 1
fight 1
fights 1
finally 1
find 2
finds 1
fire 2
first 1
fiske 4
for 5
forces 1
form 1
fortuneteller 1
forward 1
found 1
frayed 1
friend 2
frightened 1
from 6
fulfils 1
full 1
get 4
gets 1
ghost 5
ghosts 1
give 1
glass 1
go 1
goes 2
going 1
good 1
grounded 1
hands 1
happened 1
happy 1
hard 1
harmed 1
has 3
have 3
he 9
heart 1
heavy 1
her 32
him 12
his 8
home 5
house 5
how 1
however 2
hysterically 1
if 2
illness 2
implying 1
in 13
incident 1
industries 2
informed 1
inhabits 1
interested 1
into 7
invitation 1
invite 1
invites 1
is 22
it 3
jacket 1
jesse 3
just 2
keep 1
kelly 1
key 1
kill 3
killed 2
kissing 1
know 3
knows 2
land 1
later 3
leather 1
leave 1
leaves 2
leaving 1
lewis 1
lift 1
lights 1
like 1
linking 1
local 2
looking 1
looks 1
make 1
mansion 2
marcus 9
mediator 2
meets 2
message 2
might 2
miniskirt 1
missing 1
money 1
more 2
morning 1
mother 3
mr 17
mrs 4
mutual 1
name 1
named 1
nervous 1
never 1
newspaper 1
next 1
nickname 1
nightwhen 1
ninth 1
not 5
oak 1
ocean 1
of 23
off 1
offered 1
offers 1
office 3
often 1
on 6
one 4
only 2
open 1
opposed 2
or 2
other 1
out 5
outfit 1
over 2
overloading 1
panel 1
paper 1
parents 2
party 2
pass 1
peers 1
pencil 1
people 3
perhaps 1
phone 1
phsycic 1
picture 1
place 1
planning 1
poison 1
pool 1
poolparty 1
prescott 1
pretense 1
prevent 1
principal 1
production 1
promises 1
pru 3
pulls 1
purposefully 1
rash 1
reaction 1
realizes 1
receives 1
recognizing 1
red 4
report 1
reporter 1
researched 1
retrieves 1
return 1
returns 2
ride 1
robert 1
room 1
safely 1
said 1
saying 1
says 4
scheming 1
school 3
screams 1
see 1
seeming 1
sees 1
sending 1
sent 1
several 1
she 15
show 1
shows 1
shutters 2
similar 1
smashes 1
so 3
socalled 1
something 1
son 1
speak 2
spike 3
spirit 2
spirits 1
stabs 1
stake 1
start 1
starts 1
step 1
stepsister 1
stevenson 1
stop 1
storm 1
story 2
strangeness 1
student 1
suggests 1
summon 2
susannah 2
suze 43
swimsuit 1
tad 13
takes 1
talk 1
tarot 1
tears 1
tell 2
telling 2
tells 6
thaddeus 1
that 16
the 61
their 1
them 3
there 1
they 4
thinks 2
this 3
though 1
throat 1
through 1
throws 1
thugs 1
time 1
timothy 2
to 44
too 1
tried 1
tries 5
turns 2
two 1
unable 1
up 2
using 1
vampire 2
vampires 1
vampirisim 1
very 1
victims 1
walking 1
walks 1
wall 1
was 1
wasnt 1
water 1
way 2
well 1
what 2
when 4
where 1
while 1
who 10
will 1
window 1
windows 1
wires 1
wished 1
with 11
woman 7
wont 1
yelling 1
young 1
