6899604
/m/0gw41s
/m/0gw41s
Carolyn Keene
1942
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 5
about 1
an 2
and 3
assailant 1
at 2
be 1
becomes 1
between 1
brother 1
buried 1
chatham 1
connection 1
cottage 2
dangerous 1
determined 1
discovers 1
estate 1
find 1
half 2
hears 1
holds 1
investigates 1
is 2
island 1
lost 1
map 1
missing 1
mysterious 1
mystery 1
nancy 3
occurrences 1
of 1
off 1
one 1
other 1
out 1
push 1
said 1
sets 1
ship 1
small 1
the 7
to 3
trail 1
treasure 2
twin 1
when 1
where 1
who 1
with 1
