24179814
/m/07k5rwd
/m/07k5rwd
Kia Abdullah
2009-12-04
{"/m/05hgj": "Novel"}
25yearold 1
a 8
abdullah 1
adds 1
after 1
allegra 2
alluring 1
ambiguous 1
an 1
and 8
are 1
as 2
ashe 1
assimilation 1
be 1
becomes 2
begins 1
certain 1
chance 1
chase 1
child 1
control 1
controversial 1
controversy 1
convict 1
covert 1
crime 1
danger 1
darkness 1
deceit 1
deeply 1
degree 1
depravity 1
descent 1
dont 1
encounter 1
explores 1
faced 1
first 1
follows 1
government 1
having 1
her 5
how 2
human 1
i 1
in 2
into 2
involved 1
is 2
it 1
know 1
law 1
life 2
love 1
lust 1
mind 1
morally 1
mysterious 1
new 1
novel 2
of 4
on 1
out 1
over 1
paedophiles 1
paedophilia 1
people 1
play 1
plot 1
psychological 1
rape 1
react 1
reader 1
received 1
recruited 1
revenge 1
says 1
scenes 1
second 1
sex 1
sexual 1
she 2
so 2
some 1
spirals 1
story 1
stranger 1
such 1
that 2
the 6
themes 1
there 2
thriller 1
to 2
ultra 2
unit 2
unsure 1
uses 1
violent 1
vokoban 1
voyeur 1
website 1
who 1
will 2
with 2
world 1
