30270803
/m/0g53hjl
/m/0g53hjl
David Wellington
2010-09-14

a 3
afflicted 1
after 1
agreement 1
along 1
an 1
and 2
arctic 1
are 2
as 1
attacks 1
blue 1
both 1
by 3
can 1
canadian 1
chey 2
cheyenne 1
circle 1
clark 1
company 1
complicated 1
condition 1
cure 2
curse 2
development 1
dzo 1
employ 1
end 1
energy 1
following 1
for 2
foreign 1
french 1
from 1
frostbite 1
gave 1
government 1
gradual 1
has 2
her 2
him 1
human 1
hunter 1
identity 1
in 2
increasingly 1
inuit 1
is 2
joined 1
killed 1
loss 1
lucie 1
lycanthropy 2
montgomery 1
monty 2
muskrat 1
nature 1
nearlyimmune 1
novel 1
of 7
oil 1
personification 1
picks 1
poisoning 1
powell 1
pursued 1
renders 1
russian 1
search 2
shortly 1
sign 1
silver 1
skin 1
so 1
spirit 1
that 3
the 15
them 1
they 4
to 3
toward 1
travel 1
up 1
varkanin 1
wants 1
way 1
werewolf 2
werewolves 3
who 3
with 1
wolflike 1
