8996643
/m/027ssmg
/m/027ssmg
Phyllis Eisenstein
1978
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 10
abandoned 1
ability 2
accepted 1
adventures 1
alaric 6
all 1
and 7
ankles 1
antecedents 1
as 3
becomes 1
been 1
black 1
bloody 1
born 2
branded 1
but 1
by 2
called 1
castle 1
clothes 1
clutching 1
concerns 1
court 2
craggy 1
daughter 1
details 1
display 1
distant 1
eight 1
embroiled 1
encounters 1
exile 2
family 1
few 1
for 1
foster 2
found 2
full 1
gleaming 1
had 1
hand 1
he 3
hillside 1
himself 1
his 8
in 2
infant 1
inn 1
intrigue 1
involves 1
is 2
journey 3
king 1
knapsack 1
known 1
like 1
lonely 1
lords 1
lute 1
magician 1
medron 1
minstrel 3
months 1
mysterious 1
naked 1
nature 1
newborn 1
novel 1
now 1
of 7
older 1
on 3
one 1
only 1
otherwise 1
own 1
palace 1
parents 1
past 1
possesses 1
possessions 1
power 1
powers 2
preternatural 1
princess 1
rejected 1
restored 1
road 1
secrets 1
severed 1
shining 1
sinister 1
solinde 1
solitary 1
some 1
songs 1
spires 1
subsequently 1
suddenly 1
supernatural 1
superstitionensorcelled 1
swan 1
teleport 1
that 1
the 15
then 1
there 1
this 1
those 1
to 6
towers 1
trudged 1
true 1
uncover 1
unknown 1
village 1
vision 1
wandering 1
wanders 1
wayfarer 1
weary 1
who 1
witchchild 1
with 4
within 1
world 1
