4277537
/m/0btrgl
/m/0btrgl
Anthony Burgess
1963
a 14
able 1
about 1
accidentally 1
after 2
alienating 1
almost 1
alone 1
although 1
an 1
and 6
anthologised 1
as 5
asleep 1
aspirin 1
attempts 1
awarded 1
bachelor 1
bainbridge 1
bartender 1
bathtub 1
be 1
being 1
brighton 1
bring 1
but 1
by 2
cabinet 1
capital 1
career 1
catholic 1
children 1
complaint 1
composes 1
consciousness 1
contentedly 1
costs 1
cries 1
dearly 1
death 1
depriving 1
disgusting 1
doctors 1
dyspeptic 1
editor 1
efforts 1
enderby 5
ends 1
even 1
experiencing 1
fantasy 1
field 1
filing 1
financial 1
food 1
forward 1
francis 1
from 3
fruitful 1
full 1
funny 1
future 1
gold 1
goodby 1
has 1
he 10
help 1
her 2
him 4
his 13
hogg 1
horror 1
immature 1
in 4
income 1
independence 1
instead 1
institution 1
interest 1
investments 1
is 6
lapsed 1
leave 1
left 1
life 1
lives 1
lonely 1
looks 1
love 1
magazine 2
marriage 1
medal 1
mental 1
mid40 1
mingled 1
minor 1
months 1
more 1
muse 1
nears 1
new 1
note 1
of 9
old 1
on 2
one 1
only 1
opens 1
overdose 1
paper 1
pass 1
persuade 1
persuaded 1
piggy 1
poem 2
poet 3
poetically 1
poetry 1
poetrywriting 1
prize 1
professional 1
published 1
pure 1
rather 1
rechristened 1
recipe 1
recognised 1
refuses 1
regains 1
remains 1
renounce 1
represent 1
school 1
scraps 1
seated 1
see 1
self 1
sends 1
serves 1
several 1
showing 1
small 1
soon 1
spending 1
stepmother 2
story 1
suicide 1
taking 1
that 1
the 9
through 1
time 1
to 7
toilet 1
trip 1
vesta 1
visions 1
what 1
where 1
which 3
while 1
whilst 1
with 2
woman 1
works 1
write 1
xavier 1
yet 1
