10799664
/m/02qqdrx
/m/02qqdrx
Carlos Fuentes

{"/m/03npn": "Horror", "/m/02xlf": "Fiction"}
10yearold 1
a 4
accepts 1
actually 1
airless 1
and 3
as 1
atmosphere 1
aura 4
beautiful 1
before 1
begins 1
birth 1
by 1
child 1
consuelo 4
coupled 1
death 1
discoveries 1
dreaming 1
editing 1
elderly 1
embraces 1
epitomizes 1
escaping 1
fantasy 1
felipe 3
general 3
give 1
having 2
he 3
her 4
historian 1
house 1
illusion 1
infertility 1
into 1
intoxicated 1
is 1
life 1
livein 1
llorente 1
makes 1
memoirs 1
montero 1
niece 1
night 1
obsession 1
of 7
old 1
on 1
one 1
only 1
own 1
position 1
projection 1
published 1
reads 1
realize 1
role 1
sex 1
some 1
surrounding 1
takes 1
that 1
the 10
then 1
to 3
turns 1
wants 1
which 1
while 1
who 1
widow 2
with 3
woman 1
writings 1
young 2
youth 2
