17836724
/m/047fnm0
/m/047fnm0
Jim Butcher
2005-07-05
a 2
ability 1
academy 1
after 1
agents 1
alera 3
aleran 1
alike 1
all 1
and 5
approximately 1
as 2
attending 1
aunt 1
be 1
being 1
by 1
calderon 1
capitol 1
civil 1
confront 1
covert 1
crown 1
cursor 1
danger 1
deal 1
disability 1
employed 1
enemies 1
events 1
failing 1
finest 1
first 2
for 1
furies 2
furycrafting 1
generously 1
has 2
have 1
he 2
heads 1
health 1
him 1
his 5
in 4
invaded 1
is 2
isana 1
looming 1
lord 2
messengers 1
must 1
no 2
of 4
only 1
over 1
page 1
paid 1
patron 1
peers 1
perceived 1
quietly 1
realm 1
remains 1
ruler 1
school 1
schooling 1
still 1
struggles 1
tavi 2
the 12
their 1
threat 1
through 1
to 3
training 1
two 1
vord 1
war 1
while 1
with 2
years 1
