5037417
/m/0c_yrb
/m/0c_yrb


{"/m/03mfnf": "Young adult literature"}
a 7
able 2
abuse 2
accident 1
actual 1
all 1
an 1
and 4
anybody 1
anything 1
arthur 1
as 1
at 4
audrey 1
aunt 1
author 1
badly 1
be 1
book 1
boy 3
but 2
by 1
caretaker 1
cat 1
causes 1
chance 1
christmas 1
city 1
communicate 1
described 1
details 1
didnt 2
dies 1
do 1
either 1
elevenyearold 1
emotional 1
end 1
eve 1
everything 1
father 1
feel 1
felt 1
finally 1
find 1
for 1
forget 2
girl 1
give 1
gray 1
grays 1
had 1
hand 1
happened 1
has 5
have 1
he 5
hears 1
hed 1
help 1
her 2
him 2
himself 1
his 4
home 1
hoping 1
how 1
hypnosis 1
hypnotises 1
i 2
in 4
incident 1
is 7
it 2
jamie 7
jamies 1
jump 1
know 1
krouch 1
learn 1
leaves 1
like 2
lives 1
magic 1
me 1
memory 4
michigan 1
milleran 1
miss 1
name 1
needle 1
neighborhood 1
not 2
office 1
old 2
on 3
or 1
other 1
out 1
paedophile 1
park 1
performing 1
privacy 1
problems 1
protect 1
reaction 1
really 1
reardons 1
recalls 1
recent 1
recognises 1
record 1
returns 1
right 1
said 1
sapphy 2
sapphys 1
sarah 1
school 2
scratch 1
sexual 1
skip 1
so 1
sort 1
suppress 1
teacher 1
teased 1
tell 2
that 4
the 14
to 15
trailer 1
traverse 1
tries 1
trigger 1
troubled 1
trying 1
two 1
under 1
unsympathetic 1
visiting 1
want 1
wanted 1
was 1
weeks 1
what 1
when 1
where 1
who 2
will 1
work 1
