10070413
/m/02q0tjy
/m/02q0tjy
Cynthia Lord
2006
12yearold 1
a 5
afraid 1
all 2
and 4
ashamed 1
autism 1
be 2
bit 1
brother 3
can 1
catherine 2
causes 1
combine 1
compiling 1
complicated 1
david 2
deal 1
despite 2
disability 2
do 1
drawn 1
eightyearold 1
especially 1
everyone 1
explains 1
fear 1
finds 1
for 3
friendship 1
girl 1
has 1
he 1
her 11
herself 1
his 1
how 2
in 1
into 1
involved 1
is 2
jason 1
krista 1
learns 2
life 4
list 1
make 1
makes 1
mental 1
might 1
more 1
neighbor 1
new 1
normal 2
not 1
of 4
others 1
physical 1
right 1
rules 1
scared 1
search 1
she 5
so 1
struggles 1
that 2
the 2
thing 1
think 2
this 1
to 6
understand 1
was 1
what 2
wheelchairbound 1
wish 1
with 2
works 1
world 1
