16176956
/m/04n7r_0
/m/04n7r_0
Jack Womack

168 1
a 4
absent 1
africanamerican 1
all 2
almost 1
alternate 1
alternative 1
an 4
analogue 1
and 4
apparatus 1
apparently 1
banned 1
becomes 1
been 1
better 1
black 2
blending 1
branches 1
bullitt 2
by 1
century 1
chapters 1
characters 1
closing 1
composed 1
converging 1
critic 1
descent 1
died 1
disposes 1
dryco 1
dukes 1
early 1
egocentric 1
either 1
ends 1
engineered 1
epistemic 1
experiences 1
expert 1
fact 1
five 1
flooded 1
for 2
freelances 1
from 2
fullblooded 1
ghosts 1
going 2
gone 1
government 1
has 1
he 1
hearing 1
his 2
in 9
increasingly 1
into 2
is 6
it 1
iterations 1
its 2
members 1
morally 1
moved 1
music 1
nevertheless 1
new 4
north 1
novel 1
of 10
one 1
parallel 1
passes 1
paul 1
people 1
place 1
plague 1
populated 1
previous 1
protagonist 1
psychoactive 1
race 1
seeing 1
series 2
set 1
several 1
sometime 1
spy 1
states 1
strange 1
subject 1
substances 1
taken 1
television 1
than 1
that 1
the 10
this 1
though 1
to 3
twentieth 1
two 2
united 1
universe 2
various 1
voices 1
walter 3
where 1
which 4
white 1
who 1
with 1
words 1
world 2
worlds 1
york 4
