5050695
/m/0d0jwc
/m/0d0jwc
Dan Gutman
1997
10 1
a 4
ability 1
about 1
after 1
an 2
and 3
are 1
attic 1
authentic 1
back 1
bad 1
baseball 5
big 1
biggest 1
birdie 1
boost 1
bunch 1
by 2
card 3
catch 1
cleaning 1
collectible 1
confidence 1
could 1
day 1
dollars 1
dreams 1
everything 1
ex 1
except 1
face 2
farrell 1
finds 2
for 1
gain 1
game 2
games 1
goes 1
going 1
guy 1
he 8
heinie 1
helps 1
him 2
himself 1
his 4
holding 1
honus 6
how 1
in 4
into 2
is 5
it 3
job 1
joe 5
junk 1
know 1
knows 1
leagues 1
legend 1
love 1
meet 1
most 1
named 1
neighbor 1
next 1
night 1
of 4
one 1
out 1
owner 1
play 3
plays 1
professional 1
saying 1
selfesteem 1
selling 1
series 2
seventh 1
share 1
shop 1
sleep 1
stoshack 1
t206 1
takes 1
team 1
ten 1
that 2
the 10
their 1
there 1
they 1
time 1
to 10
together 1
travel 1
trick 1
tries 2
valuable 1
verify 1
wagner 4
well 1
what 1
when 2
where 1
while 1
win 1
wishing 1
with 2
world 3
wrestler 1
