2331158
/m/0749xz
/m/0749xz
Stefan Wul

1 1
2 1
45 1
a 4
and 4
are 2
as 1
away 1
been 1
being 1
brought 1
but 1
by 1
captivity 1
contrasted 1
day 1
days 1
deals 1
development 1
domesticated 2
draag 2
draags 4
earth 2
en 1
equal 1
equivalent 1
every 1
exterminated 1
far 1
for 2
forge 1
french 2
from 1
froms 1
future 1
giant 1
group 1
has 1
have 1
he 1
high 1
home 1
hommes 1
in 3
ironically 1
is 2
joins 1
knowledge 1
learned 1
level 1
meaning 1
men 1
named 1
new 1
of 4
om 1
oms 4
on 1
others 1
parks 1
people 1
pets 1
planet 1
play 1
protagonist 1
relationship 1
roughly 1
run 1
runs 1
scientific 1
set 1
short 1
some 2
spiritual 1
srie 1
story 1
technological 1
terr 1
terre 1
terrible 1
the 9
their 2
this 1
tiny 1
to 3
treatment 1
uses 1
while 1
who 2
wild 2
with 3
word 1
years 1
ygam 1
