6209875
/m/0fwy88
/m/0fwy88
Philip Kerr
2008
{"/m/06n90": "Science Fiction"}
14 1
2 1
20 1
200 1
21st 1
80 1
a 18
ability 2
able 1
about 1
accelerated 1
access 1
according 1
activate 1
activates 1
actually 1
advanced 1
afford 1
almost 1
alternate 1
an 3
and 17
angel 1
animation 1
are 5
around 2
as 3
asleep 1
at 2
autologous 1
avoid 1
back 2
bank 3
banks 4
be 5
becoming 1
been 3
before 1
being 1
bidder 1
bill 2
blood 19
bloodbank 1
body 1
boss 2
but 2
by 8
bypassed 1
called 1
can 1
capacity 1
caro 1
carry 1
cbh 1
century 1
chance 1
chapter 1
characters 2
cities 1
city 1
claims 1
clean 2
combine 1
commentaries 1
commodity 1
company 3
complete 1
completely 1
complex 1
complications 1
computer 3
computers 1
concerned 1
contact 1
contains 1
coupled 1
course 1
crew 1
cure 1
cured 1
dallas 10
dana 1
daughter 3
deep 1
deliberately 1
designed 1
designer 1
despite 1
diagnosed 1
diamonds 1
disclosing 1
discovery 1
discursive 1
disrupts 1
dna 1
dollars 1
donations 1
dose 1
drug 1
due 1
duplicating 1
earth 2
enable 1
enables 1
escapes 1
event 1
evolved 1
explore 1
extracted 1
extremely 1
far 1
few 1
firms 1
first 3
firstperson 1
food 1
for 9
free 1
from 2
funded 1
gained 1
galaxy 1
goes 1
gold 2
great 1
greatest 1
greatly 1
grows 1
guarded 1
had 2
has 6
have 2
he 2
health 2
healthy 5
hears 1
hemoglobin 1
her 1
hibernation 1
hiding 1
high 2
highest 1
him 1
himself 1
his 9
host 1
hotel 1
hpv2 1
human 3
humans 2
hyperbaric 1
identity 1
illness 1
in 14
incidence 1
including 1
indeed 1
individuals 1
industrial 1
infected 2
ingenious 1
intrusive 2
is 8
it 4
itself 1
kept 1
kill 2
killed 1
kilogram 1
king 1
known 1
largest 2
last 1
late 1
leaking 1
lengthy 1
life 1
lifetime 1
limitations 1
litre 1
litres 1
live 1
longer 1
mafia 1
major 1
mankind 1
meant 1
memories 1
merging 1
million 1
millions 1
moon 2
more 1
most 1
murder 1
nanomachines 2
narrative 1
narrator 4
national 3
nature 1
need 1
never 2
new 1
novel 1
now 2
observations 1
of 21
officer 1
omniscient 3
on 7
one 2
only 4
opportunistically 1
or 3
order 1
orders 1
out 1
outside 1
oxygen 1
p2 4
parvovirus 1
passages 1
pay 1
people 1
percent 1
perform 1
personal 1
place 1
plan 1
population 1
position 1
price 1
procedure 1
protryptol 1
purpose 1
quantity 1
quantum 1
rather 1
reached 1
realises 1
recreate 1
recruits 1
refrains 1
regular 1
relative 1
replace 1
replaced 1
reserves 1
reside 1
resistant 1
revenge 1
rimmer 1
risk 2
rob 1
robbed 1
robbery 1
safety 1
sea 1
second 1
secrets 1
security 4
set 1
sets 1
several 1
shortening 1
sick 1
simon 1
sophisticated 1
space 1
spread 1
standard 1
state 2
stateoftheart 2
stocked 1
storage 1
story 1
such 1
supercomputer 3
survive 1
survives 1
suspended 1
synthetic 1
systems 2
team 1
telling 1
thalassemia 1
than 1
that 5
the 51
theft 2
their 3
them 3
these 1
they 2
this 2
those 1
time 1
to 27
told 1
too 1
transfusion 2
transfusions 1
treatment 1
turns 1
two 1
unbeknownst 1
uninfected 2
unique 1
until 1
use 1
used 1
using 1
valuable 1
valued 1
vamping 1
virus 1
wanted 1
was 2
water 1
way 2
when 3
which 1
while 1
who 3
whose 1
wife 2
with 11
within 1
works 1
world 3
would 1
years 1
zone 1
zones 1
