27689188
/m/0bv98tp
/m/0bv98tp
Alexander McCall Smith
2010
{"/m/02xlf": "Fiction"}
a 6
again 1
also 1
and 4
any 1
appreciate 1
are 1
as 1
aunt 1
beauty 1
because 1
behalf 1
best 1
botswana 1
but 1
called 1
carry 1
crocodiles 1
date 1
delicate 1
delta 1
disgruntled 1
end 1
everything 1
fearsome 1
feeling 1
for 2
former 1
gently 1
grasslands 1
guest 1
has 1
her 2
herself 1
hippopotamuses 1
home 1
homeland 1
however 1
in 2
is 3
it 2
its 1
just 1
knows 1
least 1
little 1
lodge 1
majestic 1
make 1
makes 1
makutsi 2
mission 1
mma 3
more 1
not 2
obstacle 1
of 4
okavango 2
on 1
once 1
operators 1
out 2
paradise 1
patience 1
phuti 2
possessive 1
precious 2
radiphuti 1
ramotswe 1
rather 1
rival 1
river 1
round 1
safari 2
set 1
so 1
sparkling 1
still 1
teeming 1
tetchy 1
that 1
the 5
to 4
water 1
way 1
wedding 1
what 1
wide 1
wildlife 1
will 2
with 1
work 1
