24426569
/m/07s6bcr
/m/07s6bcr
Iain Banks
2009-09-03
{"/m/05hgj": "Novel"}
2008 1
a 4
affect 1
after 1
agentsknown 1
along 1
also 1
an 1
and 4
another 1
as 4
banks 1
beneficial 1
berlin 1
between 2
body 2
called 2
centres 1
characters 1
concern 3
control 1
crisis 1
dismantling 1
disorders 1
drug 1
eptus 1
events 1
existing 1
financial 1
flit 2
flits 1
flitting 1
for 3
he 1
how 1
idiosyncrasies 1
imagine 1
in 1
infinitudes 1
ingesting 1
inhabitant 1
interpretation 1
intervening 1
into 1
is 1
known 1
lexpdience 1
lives 1
manyworlds 1
may 1
mechanics 1
movement 1
multiple 1
mysterious 1
narrators 1
novel 1
of 9
on 1
only 2
or 2
organisation 2
outcomes 1
parallel 1
people 1
personality 1
possible 1
predisposed 1
preferences 1
produce 1
quantum 1
realities 1
residual 1
sees 1
set 1
sexual 1
shadowy 1
she 1
some 1
such 2
takes 1
talent 1
temporarily 1
that 3
the 11
theory 1
this 1
to 2
transition 1
transitionariescan 1
transitionary 1
transitioning 1
uses 1
wall 1
what 1
when 1
which 1
who 1
with 2
workings 1
world 3
