305372
/m/01sfsw
/m/01sfsw
Bharati Mukherjee
1989
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 8
after 1
agony 1
america 2
an 1
and 9
as 5
at 1
attack 1
author 1
backdrop 1
based 1
be 1
between 1
both 1
context 1
continually 1
countries 1
despair 1
dies 1
dislocation 1
due 1
earlier 1
east 1
eventually 1
expanded 1
faced 1
faces 1
first 1
for 1
from 1
further 1
health 1
her 5
here 1
herself 2
hindu 1
husband 2
image 1
in 11
including 1
india 3
into 1
is 3
it 1
jasmine 2
jobs 1
leaves 1
life 3
lives 1
loss 1
main 1
make 1
many 1
middleman 1
mixing 1
move 1
moving 1
murder 1
needs 1
new 1
novel 1
of 11
on 1
only 1
other 2
parts 1
path 1
position 1
problems 1
professional 1
protagonist 1
rape 1
religious 1
relocation 1
reroots 1
returned 1
roles 1
search 1
series 1
seventeen 1
seventeenyearold 1
she 4
sheds 1
short 1
shown 1
shows 2
significant 1
some 2
something 1
stories 1
story 5
subordinate 1
suddenly 1
telling 1
that 1
the 16
third 3
this 2
through 2
to 8
travel 1
treatment 1
unity 1
uproots 1
us 1
was 1
well 1
west 1
westward 1
which 1
who 1
widow 1
widowed 1
woman 1
women 1
world 3
young 1
