15480353
/m/03mbqs0
/m/03mbqs0
Nancy McKenzie
2002

a 14
about 1
accept 1
adored 1
adores 1
affair 1
age 1
ages 1
also 1
although 1
always 1
an 1
and 24
are 2
arthur 14
as 5
ask 1
at 4
aunt 1
away 1
bastard 1
be 2
become 2
becomes 2
before 1
begins 1
being 1
believing 1
best 1
betray 1
birth 1
born 1
bride 4
bring 1
britain 4
britons 1
but 2
by 2
came 1
camelot 3
cannot 1
celibate 1
chosen 1
clear 1
comes 1
complicates 1
convent 2
country 1
cousin 1
daughter 1
death 2
decide 1
deterioration 1
does 1
down 1
dreams 2
due 1
during 1
early 1
elaine 9
end 1
even 1
events 1
failure 1
fall 1
family 2
father 2
fierce 1
fight 1
fighting 1
find 1
finds 1
first 2
for 8
friends 1
friendship 1
from 1
future 2
gaul 1
generation 1
go 1
goes 1
great 1
grow 1
guinevere 15
gwenhwyfar 1
had 2
halfbrothers 1
hand 1
has 1
have 1
he 6
headstrong 1
heart 1
heir 1
helplessly 1
her 22
here 1
herself 2
him 5
his 12
how 1
husband 2
igniting 1
in 9
is 9
isnt 1
it 3
jealousy 1
just 1
king 2
knights 2
know 1
lancelot 8
land 1
lands 1
later 1
leaders 1
leads 2
leave 1
legend 1
less 1
life 2
liking 1
love 5
make 2
meant 2
meeting 1
meets 1
merlin 1
minor 1
mordred 5
more 1
morguase 1
mother 1
move 1
much 1
near 1
nearby 1
need 1
night 1
no 1
northern 1
not 1
novel 2
obsessed 1
of 17
older 1
on 2
one 1
opens 1
or 1
other 1
own 2
pampered 1
passes 1
passionate 1
passionately 1
peace 1
people 1
place 2
pregnant 1
prologue 2
prophecy 1
puts 1
realistic 1
realizes 1
recognize 1
relationship 1
retrieve 1
revenge 1
saxon 2
saxons 2
says 1
schemes 1
secret 1
seeing 1
sends 1
sent 1
shadow 1
she 2
side 1
sister 2
son 2
special 1
spends 1
start 1
stay 1
story 4
stubborn 1
take 1
taken 1
takes 3
taking 1
telling 2
tells 2
that 4
the 23
their 2
then 3
these 1
they 3
though 2
throne 1
time 1
times 1
to 25
today 1
together 2
told 1
train 1
treaty 1
trust 1
undoing 1
unending 1
unified 1
uniting 1
up 1
versions 1
vision 1
was 2
way 1
we 1
when 5
which 1
white 1
who 2
whom 1
with 6
write 2
years 2
you 1
