4170327
/m/0bmy24
/m/0bmy24
Arthur Ransome
1930-12-01
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
12 1
a 13
about 1
act 1
adventures 2
after 2
afterwards 1
again 1
against 2
agree 1
all 1
allows 1
ally 1
also 1
amazon 2
an 2
and 16
appear 1
appears 1
are 1
area 1
as 3
at 1
august 1
battle 1
be 2
become 1
beef 1
been 2
beer 1
between 1
blackett 1
blacketts 5
blame 1
blames 1
boat 1
book 1
borrowed 1
burglars 1
burgled 1
burners 1
but 1
by 3
call 2
camp 1
campaign 1
campers 1
camping 1
can 1
captain 2
capture 1
cat 1
cautioned 1
character 1
charcoal 1
chest 1
children 7
combination 1
come 1
coming 1
common 1
company 1
coniston 1
contains 1
contest 2
convinced 1
corned 1
crimes 1
crossing 1
crusoe 1
dangerous 1
day 1
deal 1
decidedly 1
determine 1
different 1
dinghy 2
discover 1
distance 1
district 1
during 2
enemy 1
england 1
even 1
everyday 1
exploration 1
families 1
fancifully 1
farm 1
farmers 1
feels 1
finally 1
firework 1
fishing 1
flint 2
following 1
food 1
for 4
forced 1
forces 1
from 4
furthermore 1
get 1
ginger 1
good 1
grog 1
had 1
has 3
have 1
he 4
hears 1
hidden 1
him 1
himself 2
his 8
holidays 1
house 1
houseboat 3
in 12
includes 1
investigate 1
involve 1
is 7
island 6
it 2
james 2
john 2
join 1
lake 4
lakeland 1
later 1
leader 1
lemonade 1
let 1
life 2
listen 1
live 1
make 1
meet 2
memoirs 2
mistaken 1
mock 1
modelled 1
morning 1
mostly 1
mother 1
named 2
nancy 1
near 1
nearby 1
nevertheless 1
nieces 2
night 2
normally 1
occasional 1
of 9
off 1
on 6
order 2
other 1
others 1
outdoor 1
overall 1
own 1
part 1
pass 1
peggy 1
pemmican 1
piracy 1
plank 1
play 1
present 1
property 1
ransome 1
reckless 1
recovered 1
refer 1
references 1
refuses 1
regular 1
relates 1
robinson 1
roger 2
roof 1
sail 2
sailing 1
same 1
school 1
sea 1
see 1
seizes 1
set 1
should 1
some 1
staying 1
stolen 1
story 2
strategy 1
stuff 1
summer 1
susan 1
suspicious 1
swallow 1
thanks 1
that 2
the 42
their 4
there 1
these 1
they 6
thieves 1
this 1
titty 4
to 15
transpires 1
treasure 1
tried 1
try 1
turner 9
two 1
uncle 1
unfriendly 1
voices 1
walk 1
walker 1
walkers 6
warning 1
was 1
ways 1
when 4
where 1
which 7
while 1
who 4
whom 1
wild 1
win 1
windermere 1
with 1
withdrawn 1
woods 1
working 2
write 1
wrong 1
