5222113
/m/0d8m9v
/m/0d8m9v
Steven Brust
1993
a 10
about 4
acquainted 1
action 1
after 2
afterward 1
again 1
alienates 1
allegations 1
already 1
also 1
an 3
and 17
appear 1
apprenticed 1
are 2
arrival 1
arsenal 1
as 2
assassin 3
assassins 1
assumes 1
at 3
athyra 1
attacked 1
attackers 1
away 1
baron 3
becomes 3
been 2
before 3
begins 3
behavior 1
believe 1
boy 2
brief 1
but 3
by 2
can 1
catatonic 1
causing 1
caves 3
cell 1
cellar 1
clothing 1
collapses 1
comments 1
completely 1
concurrent 1
confirms 1
confused 1
constant 1
contacts 1
conversation 1
dagger 2
dark 2
death 3
describes 1
determines 1
did 1
discarded 1
discovers 1
dispels 1
distraction 1
do 1
dragaera 1
draw 1
dreaded 1
during 1
easterner 1
entering 1
escape 1
events 1
fear 1
fight 2
fights 1
finger 1
for 8
former 1
friends 1
from 2
get 1
goes 1
growing 1
guard 1
guide 1
hand 1
has 6
have 1
he 9
head 1
healing 1
help 1
her 1
him 6
himself 2
his 14
horror 1
however 1
immediately 1
in 6
include 1
infection 1
injuries 1
injury 1
inn 2
interested 1
into 5
irrational 1
is 7
ishtvan 3
jhereg 3
kill 2
killed 3
kills 2
learning 1
lesson 1
local 2
locates 1
location 1
loiosh 1
lookout 1
loraan 10
lost 1
manipulating 1
manor 2
master 3
mate 1
meets 1
men 1
menace 1
mind 1
morganti 1
most 2
mysterious 1
near 1
nearby 1
necromancer 1
never 1
normal 1
now 1
obeys 1
obligation 1
of 14
off 3
often 1
on 1
only 1
ordeal 1
order 1
out 3
over 1
physicker 2
plan 2
pneumothorax 1
pointofview 1
power 1
provider 1
public 1
put 1
questioning 1
reaching 1
realizes 1
recruits 1
recuperating 1
recurring 1
reins 4
remembering 1
request 1
resolves 1
responsibility 1
rest 1
reveal 1
revealing 1
robbed 1
rocza 3
safety 1
savn 18
searches 1
sections 1
seek 1
seen 1
seriously 1
servant 1
she 1
shows 1
simply 1
slips 1
smallcliff 3
snaps 1
some 2
something 1
sorcery 2
spends 1
state 1
still 2
stir 1
strike 1
subsequent 1
suddenly 1
summons 1
suspicion 1
take 1
takes 1
talks 1
taltos 1
teckla 1
teleporting 1
tells 1
that 8
the 28
them 1
they 1
thinking 2
throttling 1
through 1
thrown 1
time 1
to 16
too 1
tortured 1
town 1
traveled 1
treatment 1
treats 2
true 1
tunnel 1
two 3
undead 2
until 1
up 2
use 1
used 1
uses 2
using 1
village 4
vlad 28
warn 1
water 2
wears 1
where 1
which 1
while 4
who 3
witchcraft 1
with 6
wizard 1
wounded 2
years 1
