9401410
/m/0287bn6
/m/0287bn6
Gabrielle Zevin
2005
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
7 1
a 11
accident 1
after 1
afterward 1
ages 1
and 9
are 1
arrive 1
arriving 1
as 2
babies 1
backwards 2
becomes 1
been 1
before 1
begin 1
begins 1
betty 1
bicycle 1
binoculars 2
boat 1
born 1
but 2
by 1
called 1
can 1
canine 1
caught 1
come 1
contact 1
day 1
days 1
dead 1
decks 2
depressed 1
die 1
died 3
dies 1
different 1
dogs 1
drug 1
earth 3
elizabeth 1
elsewhere 4
everyone 1
fact 1
falls 1
family 2
famous 1
few 1
fifteen 1
find 1
forwards 1
friends 2
from 2
funeral 1
gets 2
girl 2
gradually 1
grandmother 1
had 3
hall 1
has 1
help 1
her 6
herself 1
in 7
is 4
job 1
known 1
learns 2
life 4
live 1
lived 2
liz 6
love 1
make 1
makes 1
meets 2
misses 1
much 1
musician 1
new 2
nile 1
not 1
observation 2
obsessed 1
of 2
old 2
on 4
other 1
overdose 1
owen 1
own 1
passengers 1
placed 1
realizes 2
return 1
river 1
she 12
shot 1
situated 1
soon 1
speak 1
ss 1
story 1
tells 1
terms 1
that 3
the 8
then 1
there 1
they 3
through 2
time 1
times 1
to 7
traveling 1
tried 1
truly 1
turn 1
until 1
up 1
wakes 1
was 1
watching 2
what 1
who 5
whom 1
with 6
working 1
year 1
