3706019
/m/09wddh
/m/09wddh
Cordwainer Smith
1975
150 1
a 7
ability 1
about 1
administered 1
adventures 1
after 3
again 1
aid 1
all 1
allergy 1
amasses 1
among 1
an 5
ancestor 1
ancient 1
and 11
animals 1
as 3
assassination 1
attempt 1
back 1
be 1
been 1
begin 1
believed 1
best 1
bewitching 1
biased 1
bird 1
bought 1
but 1
by 4
campaign 1
cannot 1
capabilities 1
catwoman 1
cause 1
certain 1
changes 1
circulate 1
cmell 1
communicate 1
company 1
complex 1
computer 1
condemned 1
considerably 1
considered 1
convoluted 1
creature 1
crooks 1
culling 1
danger 1
day 1
deals 1
descendent 1
despised 1
disability 1
do 1
doom 1
down 1
earth 2
eccentric 1
enemy 1
enormous 1
envious 1
erratic 1
escape 1
etelekeli 1
exchange 1
experimental 1
families 1
fashion 1
finally 1
financial 1
fixing 1
following 1
for 5
former 1
formulated 1
fortune 3
freak 1
friend 1
from 1
futures 1
generally 2
genetically 1
happen 1
has 2
have 1
he 10
heir 1
him 5
his 9
history 1
home 1
humans 1
illegal 1
immense 2
in 5
instrumentality 3
intellects 1
investments 1
is 10
it 2
jestocost 1
keep 1
kill 1
last 3
leader 1
learns 1
lets 1
live 1
lord 3
magnet 1
makes 1
male 1
mankind 1
manner 1
market 1
masters 1
mcban 1
mdash 2
meets 1
mere 1
modified 1
money 1
more 1
moreorless 1
most 1
next 1
norstrilia 1
norstrilian 1
norstrilians 1
noticing 1
of 15
old 1
oldest 1
one 3
or 1
origin 1
other 1
overnight 1
own 1
passed 1
passes 1
person 1
plan 1
planet 1
playing 1
possessing 1
powers 1
pretext 1
providing 1
psychic 1
psychological 1
quasimilitary 1
quickly 1
ranches 1
reality 1
remedy 1
resemble 1
revolutionaries 1
rights 1
rod 6
rules 1
rumors 1
safely 1
safety 1
see 1
seeks 1
send 1
sent 1
series 1
slaves 1
so 3
sometimes 1
spared 1
station 1
stroon 2
such 1
suffers 1
surpass 1
survives 1
sympathetic 1
talents 1
telepathic 2
telepathically 1
test 2
that 3
the 25
their 2
this 1
though 2
three 1
times 1
to 16
typical 1
underpeople 3
unfairly 1
unfit 1
unprecedented 1
unreliable 1
used 2
using 1
was 2
wealthiest 1
what 1
where 1
which 3
who 2
wild 1
will 1
with 4
years 1
