8792574
/m/027jyq9
/m/027jyq9
Lloyd Alexander
1984
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 5
about 1
acts 1
again 1
and 3
anonymous 1
answer 1
are 2
as 2
at 3
banished 1
battles 2
begins 1
bombas 1
book 3
but 2
by 2
cabbarus 4
can 1
cannot 1
characters 1
choices 1
command 1
common 2
commoners 1
council 1
country 1
couple 1
dead 1
effects 1
end 2
ends 1
especially 1
everywhere 1
evil 2
famed 1
fate 1
fighting 1
final 1
finds 1
first 1
friends 1
from 1
ghosts 1
government 1
had 1
hand 1
having 1
he 4
her 1
his 2
in 6
including 1
is 5
it 1
join 1
keep 1
kestrel 1
kill 2
kingdom 1
las 1
last 2
leaves 1
led 1
life 1
lurk 1
making 1
many 1
married 1
mickle 2
minister 1
moral 1
mostly 1
musket 1
must 1
necessary 1
not 2
now 3
of 12
old 1
once 4
one 2
out 1
overthrow 1
past 1
people 2
plotting 1
possible 1
power 1
proclaims 1
prosecute 1
queen 3
question 1
questions 1
raises 1
remain 1
remembers 1
restless 1
rise 2
same 1
saved 1
seems 1
sees 1
seize 1
she 3
soul 1
strangely 1
street 1
struggle 1
that 6
the 28
their 1
them 1
theo 5
threatened 1
thriving 1
throne 1
time 2
to 8
together 1
travel 1
tries 1
trilogy 1
two 1
up 1
urchin 1
vows 1
war 1
was 2
westmark 4
when 1
where 1
who 1
will 1
with 1
world 1
yet 1
