10164963
/m/02q3yf4
/m/02q3yf4
Jodi Picoult
1999
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 10
about 1
accommodation 1
admitted 1
after 4
again 1
aids 1
an 3
and 14
another 1
apparently 1
appear 2
are 1
around 1
as 2
at 3
attack 1
attention 1
autistic 1
awarded 1
away 1
baby 1
back 2
be 2
begin 2
being 2
believing 1
betray 1
bible 1
blows 1
brother 1
but 1
by 1
called 1
catches 1
cheats 1
child 1
city 1
colin 3
commotion 1
confrontation 2
confronted 1
continue 1
country 1
court 1
custody 3
daughter 1
dead 1
death 1
debunking 1
declared 1
deep 1
depression 1
develops 1
disappear 1
divorce 2
drastically 1
during 1
end 3
epstein 1
eventually 2
fact 1
faith 13
fallen 1
falls 1
family 1
fearing 1
feature 1
few 1
files 1
finds 1
flee 1
fletcher 1
fly 1
focused 1
for 5
forever 1
friend 1
from 2
full 1
general 1
give 1
gives 1
god 2
goes 1
gone 1
goodbye 1
grandmother 1
guard 3
hands 1
has 2
have 1
having 1
he 3
heal 1
healing 1
health 1
hearing 2
heart 1
her 17
his 2
holes 1
hospital 2
hour 1
house 2
however 1
husband 1
ian 7
imaginary 1
impossible 1
in 5
including 1
increases 2
into 2
is 10
it 2
jew 1
kansas 1
kisses 1
later 1
latter 1
leads 1
leaving 1
life 1
live 1
lives 1
love 1
making 1
mariah 8
marriage 1
may 1
meanwhile 1
media 1
michael 2
millie 1
miracles 2
mother 4
near 1
never 1
news 1
normal 1
not 1
novel 1
of 6
on 1
or 1
other 1
performs 1
pilgrims 1
point 1
prevented 1
public 1
quoting 1
raises 1
reaches 1
read 1
really 1
relationship 1
remains 1
representative 1
reunited 1
romantic 1
sanity 1
second 1
see 1
seeing 2
she 5
showing 1
shows 1
starts 1
staying 1
stigmata 1
still 1
story 1
sues 1
suing 1
surrounding 2
symptoms 1
taken 1
takes 1
teleatheist 1
that 3
the 20
their 3
them 2
therapist 2
they 4
this 3
thus 1
time 1
to 11
together 2
traveling 1
trying 1
unclear 1
up 3
upon 1
very 1
visiting 1
what 1
when 2
where 3
whether 1
which 2
while 1
white 2
whites 2
who 2
will 1
with 8
woman 1
worsen 1
