30860483
/m/07_20v
/m/07_20v
Rob Grant
1989-11-02
{"/m/06n90": "Science Fiction", "/m/02yq81": "Comic novel", "/m/014dfn": "Speculative fiction"}
2180 1
25th 1
5 6
a 47
aboard 7
about 1
acceleration 1
accept 1
accepts 1
acts 1
actually 1
addictive 1
admissions 1
admits 1
advertise 1
affair 1
after 9
again 1
aged 1
alive 1
all 3
allow 1
allowed 1
alone 1
along 1
already 1
also 3
american 1
an 10
and 50
animal 1
another 3
any 1
anyone 1
apart 2
appeal 1
appears 1
are 4
arnold 1
around 2
arrival 1
as 13
asking 1
asks 1
assigned 1
assures 1
astronavigation 1
at 4
attempting 1
attitude 1
avoid 1
away 2
awol 1
back 4
background 1
barrier 1
be 6
because 1
becomes 2
bedford 1
been 6
before 5
begin 2
begins 1
being 4
best 1
better 2
beyond 1
binge 1
birthday 1
blast 1
blown 2
board 1
body 1
boldly 1
book 1
booth 1
boyfriend 1
breaks 1
brief 1
brings 1
brothel 2
bus 1
businessman 1
but 6
by 10
cadmium 1
called 2
calling 1
can 1
cant 2
captain 2
cargo 1
carries 1
cat 9
cats 1
caught 1
caused 1
causing 1
celebrating 1
chance 1
chart 1
cheating 1
chooses 1
christopher 1
civilizations 1
clear 1
cold 2
collapses 1
collected 1
colonised 1
come 1
comes 1
commercialism 1
companion 1
company 1
complained 1
complicating 1
computer 3
considered 1
constant 1
constantly 3
contamination 1
conversation 1
corporation 1
corps 2
corrupted 1
could 4
counterpart 1
course 1
crash 2
crawl 1
created 2
crew 6
danger 1
dave 1
day 1
dead 1
deage 1
death 1
deciding 1
deep 1
demand 1
denmark 1
depleted 1
descendant 1
despairs 1
despite 3
develop 1
developing 1
device 1
dies 1
difficult 1
dinner 1
discovers 1
discs 1
dish 1
dislike 1
dismay 1
does 1
down 1
drink 1
drinking 2
drive 2
droid 1
droids 1
drunk 1
drunken 1
duality 2
due 2
dull 1
dumped 1
dumps 1
duplicate 1
during 1
duties 1
dwarf 10
each 5
earn 1
earth 10
echo 1
echoes 2
efforts 1
either 1
embark 1
en 1
end 1
ended 1
ends 1
enormous 1
enough 2
ensure 1
ensures 1
enters 1
equipment 1
escape 1
even 1
evening 1
events 1
eventually 4
everyone 1
everything 1
evolved 1
exactly 1
exam 1
except 1
exercise 1
exit 1
expected 1
experience 1
explains 1
explore 1
fact 2
failing 1
fails 2
fake 2
falling 1
falls 2
fantasies 1
fares 1
fate 1
few 1
figures 1
find 2
finding 1
finds 4
first 1
five 1
fiveweek 1
fix 2
for 11
forced 1
formal 1
found 2
fourandahalf 1
frankenstein 1
freeze 1
from 8
fuel 1
fully 2
furious 1
future 3
game 1
gazpacho 3
generated 1
generator 1
get 5
gets 5
getting 4
gives 1
glimpses 1
go 1
going 2
gone 2
good 1
gradually 1
grandson 1
great 1
greatest 1
had 6
halflife 1
happen 1
hard 1
has 11
hauled 1
have 6
having 5
he 30
head 1
heading 1
hear 1
helping 1
her 9
heroes 1
hidden 1
highly 1
him 8
himself 10
his 17
history 1
hold 2
holly 6
hologram 3
home 3
however 6
human 1
humanoid 1
idea 1
ii 1
ill 1
immediate 1
improbable 1
in 20
incident 1
incredibly 1
indeed 1
informing 1
informs 1
inoculated 1
inside 1
inspiration 1
instant 1
instructs 1
intelligent 1
intending 1
into 1
introduced 1
is 22
it 7
its 2
joke 1
jupiter 1
just 1
keep 1
keeping 1
kept 1
key 1
killing 1
kills 1
kirk 1
kittens 2
known 1
kochanski 3
kristine 2
kryten 4
lack 1
last 1
later 1
leaked 1
learning 1
learns 2
least 1
leave 1
left 1
lets 1
level 1
lied 1
lies 1
life 6
light 1
like 1
likely 2
lister 37
literally 1
little 2
lives 1
living 2
locker 1
london 1
long 2
looking 1
looks 1
loose 1
losing 1
love 2
lowest 1
machine 1
made 1
malfunction 1
man 1
many 2
marries 1
meaning 1
meanwhile 3
mechanoid 1
medical 1
meets 1
member 2
memory 1
mention 1
milk 1
million 2
millions 1
mimas 1
mining 3
minutes 2
mission 1
mistake 1
moat 1
money 3
monopoly 1
monotonous 1
months 2
moon 1
moons 1
most 4
motivated 1
moustache 2
moving 1
much 1
mugged 1
must 1
mutual 1
naked 1
name 1
natural 1
navicomp 1
nearly 2
need 1
needs 1
nemesis 1
nerves 1
neurotic 1
never 2
new 3
next 1
night 2
no 1
not 5
nova 6
now 1
nuclear 1
obsession 1
obvious 1
obviously 1
of 29
off 3
offence 1
officer 4
older 1
on 13
once 1
one 4
oneup 1
only 5
operation 1
or 1
orbiting 1
original 2
other 4
out 3
own 1
painful 1
palace 1
part 1
parts 1
pass 1
passionate 1
person 2
petersen 1
picking 1
picks 1
piloted 1
planet 1
planets 1
planned 1
plastidroid 2
point 1
popular 1
port 1
pregnant 1
prepares 1
present 1
pretentious 1
prevent 1
private 1
problem 1
procure 1
promises 1
promptly 1
pub 1
putting 1
qualifications 1
quickly 2
race 1
radiation 4
ranking 1
reached 1
reaches 1
reactivated 1
reactors 1
realises 2
reality 1
recognises 1
red 10
refuses 1
regulations 1
release 2
remember 1
repair 4
replica 1
resist 1
resources 1
rest 1
result 1
retrieves 1
return 1
returned 1
returning 1
returns 1
reveal 1
rife 1
rimmer 18
rip 1
robot 1
roommate 1
round 1
route 1
routine 1
safe 2
safety 1
sandwiches 1
sane 1
saturn 1
saw 1
seconds 1
seek 1
selected 1
self 1
senile 1
senior 1
sentence 2
sentenced 1
serious 1
served 1
service 2
serving 1
settled 1
she 1
ship 15
shows 1
shuts 1
shuttle 1
sign 1
signed 1
signs 1
simply 1
since 2
sleep 1
sleeping 1
slows 1
smuggling 1
socialise 1
soft 1
solar 2
solid 1
solidgram 1
some 1
sons 1
soon 2
soup 4
space 2
spanish 1
spend 1
spending 2
starts 1
stasis 8
station 1
statutory 1
stealing 1
still 1
story 1
strange 1
studying 1
succeeds 2
successful 1
such 1
suddenly 1
supercomputer 1
supermodel 1
supervising 1
supervisor 1
supply 1
surname 1
surrounded 1
survived 1
survivors 1
switch 1
system 2
taken 1
taxis 1
tea 1
technician 1
telling 1
tells 3
than 2
that 27
the 95
their 1
them 2
then 2
they 2
theyre 1
theyve 1
things 2
thinking 1
this 3
those 1
three 2
ticket 1
time 7
to 58
todhunter 1
together 1
told 2
too 2
traditionally 1
trapped 1
tries 1
trip 3
truth 1
trying 4
turned 1
turning 1
twin 1
two 5
unaware 1
unfortunate 1
unfortunately 1
unit 2
units 2
unquarantined 1
until 1
unwillingtowork 1
up 8
upon 2
use 1
using 2
virtual 1
wakes 1
walking 1
wanted 1
was 5
wash 1
wave 1
wearing 1
well 1
were 1
what 1
when 9
where 3
which 4
while 2
who 9
whose 2
will 2
wish 1
with 12
within 2
withstanding 1
woman 1
wonderful 1
wont 2
work 3
worlds 1
worried 1
year 1
years 4
yet 1
younger 1
zshift 1
