3255341
/m/091krc
/m/091krc
Harold Frederic
1896
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
00am 1
100 1
30 1
a 77
abandoned 1
abilities 1
ability 1
able 1
about 30
abraham 3
abram 2
accepts 1
across 2
actions 1
active 1
activities 1
adequate 1
admires 1
advent 1
advice 1
aesthetically 1
affair 1
afford 2
after 12
again 2
against 1
ages 1
ago 1
agree 1
agrees 1
aide 1
albany 2
alice 26
alienated 1
all 4
allows 1
alone 1
also 4
always 2
america 1
among 1
an 9
ancestors 1
and 145
angrier 1
ann 1
announced 1
another 1
any 1
anyone 1
appoint 1
appointed 2
approach 1
approaches 1
appropriate 1
are 20
arent 1
argue 1
arises 1
around 1
arranged 1
arrived 1
arrives 2
art 3
articulate 1
as 22
ask 3
asking 1
asks 2
asleep 1
at 35
attempting 1
attempts 2
attend 1
automobiles 1
await 1
awaiting 1
awakes 1
away 4
back 5
bad 1
bankrupt 1
bar 1
be 17
because 7
become 1
becomes 1
bedroom 1
beekman 1
been 5
beer 3
before 4
began 2
begin 1
begins 2
being 2
beliefs 1
believe 1
best 1
better 1
between 1
bids 1
bigger 1
bill 1
bit 1
blames 2
boards 1
book 7
books 6
borrowed 1
both 1
bought 1
boy 3
breakfast 4
brief 1
bring 1
brother 5
budget 1
building 1
business 1
but 26
buy 1
buys 1
by 11
calm 1
came 1
camping 1
can 6
candace 1
candles 1
cannot 2
car 1
care 1
carries 1
carrying 1
case 1
cathedral 1
catholic 9
catholics 4
celia 43
ceremony 1
chair 1
changed 2
changes 1
changing 1
chanting 1
chapter 1
cheaper 1
children 1
chinaman 2
chinese 1
chopin 1
church 34
churches 2
cigarette 1
circus 1
city 1
claiming 1
claims 3
clear 1
clergy 1
close 2
closer 1
coded 1
collection 1
come 1
comes 3
comforts 1
company 1
complains 1
composers 1
comprehend 1
concerned 1
conference 3
confession 1
confirmed 1
congregation 10
conning 1
conspiring 1
constantly 1
contemplates 3
continue 1
continues 2
conversation 5
convinced 2
convinces 1
could 2
couple 1
cries 1
crying 1
currently 1
cut 1
daughter 1
day 4
days 3
deathly 1
debt 3
debtraiser 3
decay 1
decide 1
decided 2
decides 3
decision 1
delivered 1
delivery 1
depressed 1
desire 1
detection 1
determined 1
dictionary 1
did 2
different 2
dimly 1
dining 1
dinner 3
disagree 1
disagrees 1
disappointed 1
discovers 1
discuss 4
discusses 1
dislike 1
disliking 1
distracted 1
disturbed 1
do 3
doctor 4
does 7
doesnt 8
doing 3
dollars 3
done 1
door 2
down 5
dr 8
dress 1
drinking 1
drinks 1
due 3
during 2
dwindle 1
eating 1
eight 1
elder 1
elderly 1
end 2
ended 1
enjoys 1
enough 2
enter 1
enters 2
entitled 1
envies 1
episcopal 1
erastus 2
estate 2
even 1
event 1
events 1
eventually 3
ever 1
everybody 1
excuse 1
experience 2
experiments 1
explain 1
explained 1
explaining 1
explains 1
expresses 1
exquisite 1
extra 2
fact 2
fainted 1
falls 3
farewell 1
father 15
favorite 1
feast 1
feels 2
festival 1
fetches 1
fiddles 1
field 1
figures 1
finances 1
financially 1
find 4
finding 1
finds 3
finest 1
first 4
five 1
flowers 3
following 2
follows 2
for 36
forbes 29
forcing 1
foreign 1
forest 2
forgets 2
found 1
four 1
free 2
friend 1
friends 2
frightened 1
from 15
front 2
full 1
fully 1
funds 2
g 1
garden 3
gas 1
gave 1
george 1
get 7
gets 3
getting 2
girl 1
give 3
gives 2
giving 1
go 3
goes 4
going 3
gone 2
good 5
goodbye 2
gorringe 12
gossip 1
greek 3
greeted 2
greets 1
had 5
happen 1
happening 1
happens 1
has 23
hates 1
haunts 1
have 6
having 1
he 103
head 1
headache 1
headed 1
heading 1
healthier 1
hears 2
heat 1
help 3
helper 1
helps 1
her 39
herself 2
high 1
him 36
himself 7
hinting 1
hired 3
hiring 1
his 42
holds 1
home 7
hopes 1
hotel 2
house 7
household 1
how 13
however 1
hundred 1
hundreds 1
hurries 1
hurry 1
hurting 1
husband 1
idea 1
ideas 1
if 8
ill 1
illumination 1
imagines 1
importance 1
improper 1
improve 1
in 51
included 1
includes 1
including 1
income 1
influence 1
information 1
informs 1
injured 1
inquires 1
inside 4
instead 2
intention 1
interacted 1
interested 1
interesting 1
into 6
intrigued 2
introduce 1
introduces 4
invested 1
invited 1
invites 3
is 69
it 17
jeremiah 2
job 3
joined 1
just 2
killing 1
kiss 4
kneel 1
knees 1
knew 2
knock 1
know 2
knowing 1
knows 3
lager 1
last 5
late 2
later 3
latin 1
laughs 2
lawyer 2
leads 1
learn 1
learns 1
leave 5
leaves 9
leaving 3
ledsmar 18
letter 2
level 1
life 1
like 3
likes 2
list 2
lit 1
little 1
live 1
lives 4
living 1
loan 1
lobby 1
long 2
longer 2
look 1
looking 1
lovefeast 2
loves 1
low 1
macevoy 4
madden 4
made 1
maid 1
make 2
makes 2
man 9
many 1
marriage 1
may 1
meant 1
meet 2
meeting 1
meets 4
member 1
members 2
men 2
mentions 1
met 2
methodist 4
methodists 2
michael 3
might 2
milk 2
minister 3
ministry 1
model 1
moment 1
money 5
moral 1
more 7
morning 3
most 1
motivates 1
motivations 1
move 1
moved 3
mr 1
mrs 1
much 3
multiple 2
music 4
must 1
name 1
named 1
narration 1
nearby 1
nearly 3
need 3
neighbors 1
never 4
new 13
next 6
nice 1
night 3
ninth 1
no 2
none 1
nonreligious 1
normal 1
not 21
note 1
notes 1
nothing 2
notices 2
novel 1
now 2
observes 1
occupy 1
occurs 1
ocean 2
octavius 15
of 54
off 1
offers 1
on 13
once 1
one 7
only 3
or 2
organ 3
organist 1
organizations 1
originally 2
other 1
out 14
outlook 1
outside 2
over 2
overall 1
overcapacity 1
overhears 1
overworked 2
own 5
owner 1
paid 1
parish 4
part 2
participate 1
particularly 1
partners 1
party 1
passed 1
passes 1
past 1
pastor 3
pay 7
people 9
per 1
person 1
personal 1
pew 1
pews 2
philosophy 2
piano 11
pick 3
picnic 1
pieces 1
pierce 2
place 1
placed 1
play 1
playing 1
plays 2
pleasant 1
pleased 1
pledged 1
poetry 1
politics 1
ponders 2
popular 1
possessions 1
possibly 1
practicing 1
prayer 2
praying 1
preach 1
presiding 1
pressured 1
previously 1
prices 1
priest 2
private 1
probably 1
procession 1
proclaims 1
proposes 1
prove 1
purity 1
puts 1
putting 1
qualified 1
quick 1
quickly 2
quite 3
raise 1
raised 1
raising 1
rarely 1
rather 2
read 1
reading 1
reads 2
ready 1
real 1
realization 1
realizes 2
recently 1
recognizes 1
recommends 1
redirected 1
reduce 1
refuses 1
regard 2
relationship 1
relatively 1
religions 1
religious 2
religiously 1
remarks 1
remembers 1
reminisces 1
rent 1
replies 1
researching 1
residence 2
respective 1
restaurant 1
retires 1
returns 1
reveals 3
reverend 1
reviews 1
ribbon 1
rich 1
rites 4
robe 1
room 5
run 1
safe 1
said 1
same 1
sanctuary 2
sand 1
say 1
says 1
scandal 1
scandalous 1
scientifically 1
scorn 1
sculptures 1
seattle 1
see 2
seek 1
seem 3
seems 2
seen 1
sees 3
selling 2
senator 1
separating 1
separation 1
sermon 2
sermons 1
servant 1
several 1
sex 1
sexual 1
shared 1
she 42
shop 1
should 3
shoulder 1
show 1
shows 3
sick 1
sights 1
since 1
singing 1
sister 9
sit 1
sits 1
sitting 1
situation 2
sixty 1
sleep 2
sleeping 1
slips 1
smoke 1
so 6
softly 1
solitude 1
some 5
somehow 1
something 2
songs 2
soulsby 13
soulsbys 2
spare 1
speak 1
speaker 1
speaks 1
specialty 2
speech 1
speeches 1
spending 2
springing 1
stands 1
starting 1
starts 1
station 1
stewards 1
still 2
stole 1
stops 1
store 4
stores 1
story 1
stranger 2
struggles 1
stubborn 1
studying 1
style 1
subscribes 1
such 2
suddenly 2
sunday 1
sundays 1
surprised 5
take 4
taken 1
takes 2
talk 12
talked 1
talking 2
talks 4
tecumseh 2
telegraph 1
tell 1
tells 17
tents 1
terrible 1
than 5
that 73
the 171
their 20
them 8
themselves 3
then 4
theories 1
there 6
theron 96
they 31
theyd 1
things 2
think 4
thinking 1
thinks 8
third 1
this 1
though 2
thought 4
thoughts 1
threaten 1
threatening 1
three 1
thriving 1
through 1
throughout 1
thurston 1
time 6
tiredly 1
tisdale 1
to 119
together 2
told 1
too 2
toward 1
town 1
trade 1
traditions 1
train 1
travel 1
trimmed 1
truly 1
trustees 4
try 1
trying 1
turn 1
turns 2
two 2
tyre 3
ugly 1
understand 1
understandings 1
understood 1
until 3
up 8
upon 1
upset 7
urge 1
use 2
usually 1
various 1
very 6
victim 1
visits 2
voice 1
vote 2
votes 1
voyage 1
wagon 1
wakes 1
walk 7
walking 2
walks 3
want 5
wanted 2
wants 1
ware 13
wares 4
warns 1
wary 1
was 6
way 3
ways 1
weeks 2
welcome 1
well 4
went 1
were 1
what 9
when 11
where 5
which 8
while 3
who 11
whom 3
why 4
wife 7
will 6
winch 3
winter 1
wishes 1
with 20
without 1
wives 1
women 3
wonders 2
wont 3
woods 3
word 1
words 1
work 2
worked 1
workroom 1
worries 1
worth 1
would 4
wouldnt 1
write 2
writing 2
yacht 1
year 3
yetunfinished 1
york 5
young 2
