7387847
/m/026052w
/m/026052w
Neal Asher
2002
a 4
alive 1
all 1
an 1
aquatic 1
are 1
as 1
be 1
border 1
by 3
changed 1
changing 1
colloquially 1
complex 1
consume 1
different 1
dome 1
environmental 1
feeds 1
ferocious 1
food 1
for 1
forms 2
gone 1
grown 1
has 1
have 1
horrific 1
host 1
hostile 1
human 2
humans 2
if 1
in 1
including 1
individuals 1
infects 1
into 1
is 3
it 2
its 1
journeyed 1
keep 1
kind 1
known 1
leech 1
life 2
lifeforms 1
line 1
lineworld 1
mostly 1
native 2
need 1
not 1
of 4
often 1
on 1
one 1
optimises 1
or 1
permeates 1
planet 1
polity 1
pressures 1
prey 1
propagated 1
quite 1
rapidly 1
response 1
skinner 2
something 1
spatterjay 2
story 1
such 1
survival 1
tells 1
that 2
the 11
them 2
they 1
three 1
throughout 1
to 6
transformation 1
undergoing 1
untainted 1
upon 1
uses 1
virus 5
which 1
whilst 1
who 2
with 1
world 2
