8581105
/m/0278rjq
/m/0278rjq
Jack Vance


a 5
alive 1
and 3
animal 1
are 2
assault 1
at 3
athlete 1
bizarre 1
boy 1
by 1
college 1
disfigured 1
dog 1
down 1
drunken 1
expense 1
extensive 1
face 3
facial 1
for 1
four 1
frustration 1
garden 1
girls 2
had 1
has 1
her 1
high 1
his 2
in 3
is 3
it 1
its 1
lands 1
lashes 1
later 2
learned 1
legs 1
man 1
moothed 1
murdered 1
mutilated 2
new 1
no 1
of 4
one 2
others 1
out 1
party 1
photographic 1
prettiest 1
receive 1
reconstructive 1
record 1
reform 1
removed 1
school 3
sent 1
several 1
severely 1
star 1
state 1
still 1
stubs 1
suburban 1
surgery 1
surgically 1
taunted 1
the 7
them 2
then 1
there 1
threats 1
to 1
undergoes 1
unknown 1
when 1
whereabouts 1
with 1
years 2
young 1
