9978480
/m/02pyrcc
/m/02pyrcc
Karen Traviss
2008-02-26
a 5
actions 3
added 1
admiral 4
aftermath 1
again 1
against 2
alliance 6
allied 1
allies 1
ally 2
also 1
an 1
and 10
anything 1
apparent 1
are 1
as 8
at 1
attack 2
attracted 1
backup 1
barely 1
battle 1
be 1
becomes 1
been 2
being 1
ben 4
betrayal 1
bid 1
blasterpoint 1
boba 1
both 1
brother 1
but 1
by 3
caedus 20
can 1
cause 1
cha 1
chief 1
coalition 1
colors 1
combating 1
come 1
commences 1
commit 1
confederation 2
confess 1
contacts 1
corroborate 1
council 2
counter 1
daala 4
darth 2
death 3
decision 1
defeat 2
despite 2
do 1
drastic 1
easily 1
eliminated 1
end 2
enemies 1
enough 1
envoy 1
escape 1
especially 1
even 1
ever 1
evidence 1
exile 1
expected 1
fellow 2
fett 2
fight 1
find 1
fleet 3
fondor 2
fondorian 1
for 4
forces 5
from 2
galactic 5
get 1
gets 1
gilad 1
go 1
goes 1
grand 2
group 1
guard 1
had 2
have 2
he 3
help 3
her 5
him 1
himself 1
hires 1
his 5
horrendous 1
how 1
ilk 1
imperial 6
in 11
into 1
invading 1
is 9
jacen 3
jaina 1
jedi 1
just 1
killed 1
killer 1
knows 1
large 1
latter 1
leader 1
leaves 1
lon 1
lord 2
luke 1
majority 1
make 2
makes 1
manages 1
mandalorian 1
mandalorians 2
mandos 1
mara 3
meanwhile 1
moff 2
mother 1
move 1
natasi 1
never 1
nevertheless 1
niathal 3
not 1
now 1
of 6
on 5
only 1
order 2
out 1
overwhelm 1
pass 1
pellaeon 6
point 1
points 1
pose 1
power 1
pressing 1
proceeds 1
proof 1
rebels 3
refuses 1
reluctant 1
remaining 1
remnant 4
rescued 1
response 1
result 1
return 1
reveals 1
revelation 1
rule 1
ruled 1
second 1
secretly 1
seeks 2
she 1
shevu 1
shot 1
should 2
side 1
sith 2
skywalker 2
so 1
solely 1
solo 2
somehow 1
standby 1
state 1
still 1
story 1
stupid 3
supporters 1
supports 1
sure 1
surrenders 1
tahiri 2
territory 1
that 8
the 32
their 1
them 1
they 3
this 2
threat 1
threatens 1
throughout 1
to 23
too 1
training 1
traitor 1
true 1
turn 1
understand 1
unorthodox 1
veila 1
war 2
when 3
which 2
while 1
who 1
will 1
win 1
with 3
