2405849
/m/079v9j
/m/079v9j
Henry James

a 6
allow 1
allows 1
an 1
and 4
as 2
aunt 1
awaiting 1
away 1
bartram 1
based 1
be 1
beast 1
belief 1
believes 1
best 1
but 1
buy 1
by 2
catastrophic 1
close 1
curiously 1
days 1
decides 1
defined 1
denouement 1
dinner 1
does 2
down 1
earlier 1
egoist 1
event 1
fate 2
for 2
foreboding 1
from 2
get 1
good 1
great 2
has 1
he 7
her 3
him 3
his 7
hopeless 1
house 1
idly 1
ignore 1
in 4
inherited 1
invites 1
is 5
it 1
john 1
jungle 1
knew 1
learns 1
life 3
like 1
london 1
love 1
lying 1
marcher 4
marrying 1
may 4
misfortune 1
money 1
not 2
occasional 1
odd 1
of 4
or 1
pass 1
precluded 1
preposterous 1
protagonist 1
reacquainted 1
remembers 1
secret 1
seized 1
sense 1
she 1
sits 1
so 1
some 1
spectacular 2
spend 1
store 1
subject 1
takes 2
ten 1
that 4
the 9
theatre 1
throw 1
to 11
until 1
upon 1
wait 1
was 1
well 1
what 1
where 1
who 2
wife 1
with 4
woman 2
years 2
