9046144
/m/027vrkn
/m/027vrkn
Shel Silverstein
1963
12322 1
34graugrrr34 1
a 24
about 1
ace 1
africa 2
after 1
all 7
along 1
also 1
an 1
and 35
angry 1
another 1
anywhere 1
are 5
arrive 1
as 1
asks 1
at 3
attempting 1
autobiography 1
autographs 1
awaken 1
away 5
back 4
balloons 1
barbershop 1
be 1
beach 1
because 2
become 1
becomes 4
been 1
begins 1
being 1
belongs 1
best 1
between 1
bicycle 1
big 1
bottles 1
bowls 1
brings 1
buildings 1
bullets 1
but 8
by 1
cannes 1
cannot 3
cap 1
caps 1
carrying 1
cars 1
ceiling 1
changed 1
chew 1
circus 4
city 1
claws 1
clothes 2
come 3
comes 2
coming 1
confused 1
crying 1
decides 1
despite 1
dessert 1
different 2
dinner 1
discover 1
dishes 1
diving 1
do 1
does 4
doing 1
down 3
draw 1
eat 1
eaten 1
eats 3
either 1
elevator 2
everybody3s 1
except 2
exercises 1
famous 2
fast 1
fellows 1
few 1
finally 1
finchfinger 3
finds 1
for 4
free 1
friends 1
from 1
funny 1
gets 3
goes 7
going 3
golf 1
gone 1
governments 1
grass 1
great 1
grmmff 2
guitar 1
gun 4
guns 1
gunshot 1
haircut 1
happening 1
happy 1
has 6
he 33
he3s 1
head 1
hear 1
heard 1
hello 1
hides 1
him 9
hippopotamuses 1
his 10
hotel 2
however 3
hundred 1
hunter 9
hunters 5
hunting 2
idea 1
if 1
in 6
including 1
initially 1
inside 1
into 2
ironed 1
is 15
it 2
joins 1
jungle 3
know 1
knowing 2
lafcadio 11
late 1
later 1
learn 1
like 4
likes 3
line 1
lion 17
lion3s 1
lions 7
living 1
loaded 1
look 1
looks 1
lots 1
loud 1
make 3
malling 1
mallows 1
man 5
manicured 1
many 3
marching 1
marshing 2
marshmallow 4
marshmallows 4
marshymurshy 1
meets 1
mellow 1
melts 1
mind 1
misses 1
monkeys 1
more 1
morning 1
move 1
much 1
name 1
named 1
napkin 1
new 1
next 1
night 1
noises 1
not 9
obviously 2
occasions 1
of 8
off 3
offends 1
old 4
on 4
once 2
one 2
or 1
other 3
over 1
painting 1
parade 1
pass 1
passes 1
paws 2
people 1
persuades 1
philodendron 1
pictures 1
plant 1
playing 1
plays 1
poem 2
practices 1
promise 1
proper 1
protagonist 1
puts 1
realizes 1
red 2
relationship 1
reluctant 1
remembers 1
revealed 1
rich 2
ride 1
rifle 1
run 2
running 2
says 5
seldom 1
sense 1
shel 1
shelby 3
shined 1
shoot 2
shooting 2
shoots 5
shot 1
signs 1
silverstein 1
since 1
singing 1
sings 1
six 2
skating 1
sleeping 1
so 4
some 2
something 1
song 1
sound 1
spades 1
special 1
square 1
standing 1
stands 1
stay 1
stays 1
sticks 1
still 1
stops 1
story 2
straight 1
stuff 1
suddenly 1
suit 1
swimming 1
table 1
tail 1
take 1
tall 2
tells 2
tennis 1
tent 1
that 16
the 60
their 1
them 5
then 5
there 2
they 4
things 2
think 1
thinks 1
this 1
through 1
throw 1
times 2
tired 1
to 24
too 1
tries 2
trip 1
unable 1
uncle 3
until 1
up 8
very 6
walking 1
walks 1
want 3
wants 2
was 1
water 1
ways 1
wearing 2
wears 1
what 2
what3s 1
when 4
where 1
which 1
who 1
whole 1
why 1
will 1
with 8
word 1
world 1
writes 1
year 1
young 6
