1408435
/m/04_4_w
/m/04_4_w
Willa Cather
1918
a 2
about 1
affair 1
after 1
also 1
although 1
and 11
another 1
are 1
arrives 1
as 1
at 1
attendant 1
based 1
become 1
becomes 1
begin 1
between 1
black 1
bond 1
book 3
books 2
boys 1
burden 1
cather 1
childhood 1
children 1
chronicles 1
college 1
concerning 1
correspond 1
country 1
covers 2
crush 1
cuzak 1
descriptions 1
develops 1
died 1
divided 1
donovan 1
early 1
family 1
farm 1
fateful 1
feelings 1
filial 1
five 2
focuses 1
for 1
friend 2
girls 2
goes 2
grandparents 2
growing 1
had 1
harlings 1
have 1
hawk 1
he 3
hears 1
her 4
hired 1
his 5
husband 1
in 6
including 1
incorporate 1
into 1
is 3
it 2
its 1
jim 8
language 1
larry 1
lena 5
lens 1
life 3
lingard 3
live 1
longest 2
marriage 1
meets 1
more 2
motherhood 1
narrator 1
nebraska 2
new 1
novel 3
ntonia 8
of 5
on 6
order 1
other 1
out 1
own 1
parents 1
particularly 2
period 1
pioneer 1
prairie 1
prairies 1
previously 1
reacquainted 1
reader 1
romance 1
roughly 1
same 1
second 1
section 1
sexualized 1
shimerdas 2
short 1
shortest 1
some 1
something 1
spends 1
spent 1
stages 1
stories 1
story 1
strong 1
struggles 1
that 1
the 24
third 1
this 2
through 2
time 4
to 4
town 3
train 1
triumphs 1
university 1
up 2
views 1
visit 1
visits 1
volume 1
volumes 1
when 2
which 2
who 2
with 5
within 1
woman 1
work 1
written 1
years 1
