6023177
/m/0fl1tw
/m/0fl1tw
Andrew Holleran

{"/m/0cgx58": "Gay novel", "/m/02xlf": "Fiction"}
170s 1
a 7
addict 1
and 3
andrew 1
anthony 1
any 1
around 1
as 3
at 1
bars 1
beautiful 1
beauty 1
becomes 1
behind 1
by 1
characters 1
concerns 1
dance 1
dancing 1
depth 1
described 2
drag 1
drinking 1
efforts 1
enjoy 1
for 1
from 1
gay 2
him 1
himself 1
his 1
immerse 1
in 1
includes 1
is 1
lack 1
lawyer 1
leaves 1
leverage 1
life 3
lives 2
long 1
main 1
malone 3
man 1
many 1
marrying 1
metaphor 1
midwest 1
millionaire 1
much 1
new 2
nights 1
novel 2
of 4
physical 1
pleasures 1
plot 1
preternaturally 1
queen 1
revolves 1
social 1
socialite 1
speed 1
spiritual 1
straight 1
sutherland 2
the 6
their 3
they 1
though 1
title 1
to 3
two 1
variously 1
who 1
york 2
young 2
