20663668
/m/09vzs0
/m/09vzs0
Farley Mowat
1956-06
a 12
able 2
about 2
abruptly 1
afflicted 1
afraid 2
after 1
afterward 1
agreed 1
all 1
an 4
and 30
angus 6
any 1
anymore 1
anyway 1
are 10
as 5
asked 1
at 2
attempted 1
awasin 12
back 7
barely 2
barrenland 1
barrens 2
be 1
because 2
become 1
believes 1
best 1
blindness 1
boarding 1
boardingschool 1
book 2
both 1
boy 2
boys 2
broken 1
build 2
but 3
by 3
cabin 2
called 1
came 1
camp 6
can 3
cannot 1
canoe 3
canoes 1
car 1
care 1
caribou 2
case 1
catch 1
certain 1
chance 2
cheating 1
chief 3
chipeweyan 3
chipeweyans 8
chipewyan 1
come 3
comfortable 1
could 2
crash 1
cree 4
crees 2
deathly 1
decades 1
decide 1
decided 1
decides 2
declined 1
deer 6
denikazi 6
described 1
did 2
died 1
discovered 1
do 2
during 1
encounter 1
engage 1
enough 1
eskimo 4
eskimos 5
even 1
explore 1
far 1
farther 1
fees 1
find 2
finding 1
fine 1
flee 1
food 1
for 14
forced 2
forget 1
fortunately 1
fought 1
found 1
free 1
friends 2
from 1
fun 1
fur 1
gathering 1
gives 1
glance 1
go 6
going 1
gone 1
got 1
guns 2
had 4
handout 1
hate 1
have 2
he 10
help 3
him 2
his 5
hold 1
home 3
hostile 1
house 1
how 1
hunt 3
hunted 1
hunters 2
igloo 1
in 9
includes 1
including 2
into 1
inuit 1
is 3
it 4
its 1
jamie 18
join 1
journey 2
just 1
kayak 1
later 1
leader 1
learn 1
left 1
live 1
log 1
long 1
longer 1
looking 1
made 1
make 3
massive 1
may 1
means 1
meet 1
men 1
misunderstood 1
more 1
mother 1
mowat 1
named 1
needed 1
new 1
next 1
night 1
no 1
north 2
not 6
novel 1
nowadays 1
obstacles 1
occurs 1
of 11
offers 1
on 4
one 2
only 1
or 2
orders 1
other 2
out 2
overcome 1
parents 1
pass 1
peetyuk 1
people 2
plans 1
point 1
problem 1
prove 1
quietly 1
return 3
run 1
said 1
salvage 1
school 2
search 1
searching 1
see 1
sees 1
series 1
shelter 1
shortly 1
should 2
snow 1
so 5
son 1
soon 1
start 1
starving 1
stay 2
staying 1
stopped 1
stranded 1
summer 2
supplies 1
support 1
supported 1
survival 1
survive 3
suspicious 1
take 1
takes 1
that 8
the 55
their 8
them 7
themselves 1
then 4
there 2
they 27
things 1
this 5
thought 2
three 1
thule 1
thus 2
time 2
to 27
told 1
tone 1
too 1
trade 1
trader 1
trapper 1
trek 1
tribe 1
tricks 1
trip 1
try 1
two 5
uncle 3
under 1
unexpectedly 1
unknowingly 1
until 3
up 2
use 1
usual 1
wait 1
wanted 1
wants 2
was 6
water 1
way 2
went 3
were 3
what 2
when 4
where 1
while 1
whirlpool 1
white 1
who 2
wilderness 1
with 13
would 2
wrote 1
year 1
young 3
