22006354
/m/05p9dmt
/m/05p9dmt
Gary Paulsen
1994-03-30
{"/m/03mfnf": "Young adult literature"}
6000 2
7000 1
a 11
about 2
after 2
alone 1
an 1
and 12
anders 1
are 1
arguing 1
around 1
arrive 1
as 1
away 1
baby 1
beat 1
beats 1
because 1
being 3
boy 1
boys 1
built 1
bullriders 1
business 1
by 1
calls 2
can 1
car 2
chased 1
civil 1
cleveland 1
cocky 1
come 1
comes 1
constantly 1
continue 1
continues 1
cow 1
custer 1
dad 3
dakota 2
day 3
decides 1
drive 1
driving 1
due 1
during 1
each 1
ends 1
escaped 1
evening 1
eventually 1
facts 1
fastfood 1
fighting 1
first 1
for 1
four 1
fourteen 1
friend 2
from 2
general 1
get 1
gives 1
got 1
handle 1
harleydavidson 1
has 2
he 7
heading 1
help 1
his 8
historical 1
holtz 1
however 1
in 5
installs 1
into 1
is 2
jackson 1
job 1
joins 1
journey 1
kitcar 1
left 3
little 1
live 1
lives 1
man 2
mechanic 1
mom 2
named 2
next 1
novel 1
of 4
ohio 1
old 2
omaha 2
on 2
one 2
or 1
oregon 1
out 3
parents 1
place 1
plays 1
poker 1
police 2
proceed 1
random 1
rest 1
rushes 1
said 1
same 1
samuel 2
saying 2
set 1
she 1
should 1
small 1
so 1
south 2
speaks 1
still 1
stop 2
takes 1
talks 1
taunting 1
terry 8
that 2
the 12
their 3
them 3
then 3
there 2
therefore 1
they 8
threesome 1
to 14
together 1
town 1
trail 1
travel 2
turbocharger 1
turns 1
uncle 1
underage 1
up 2
upon 2
very 1
veteran 1
vietnam 1
visit 2
war 2
was 2
waylon 6
wayne 6
were 2
west 3
when 1
while 2
who 3
wins 1
with 2
wyoming 1
year 1
