9090882
/m/027xbhb
/m/027xbhb
Katherine Roberts
2002-12-02
a 2
after 1
again 1
alchemist 2
also 2
amazon 2
an 1
and 3
artemis 1
as 2
badly 1
be 1
been 2
being 1
but 2
can 1
enemies 1
enslaved 1
evil 1
finally 1
finding 1
formulating 1
free 1
friend 1
friends 1
gryphon 1
has 4
healed 1
help 2
her 4
hero 1
his 1
in 4
instructs 1
is 4
it 1
lysippe 6
makes 1
named 1
new 1
nymph 1
of 3
out 1
plan 1
princess 1
resulting 1
rid 1
sanctuary 1
seek 1
she 1
sister 2
slave 1
smyrna 2
sometimes 1
stays 1
stone 1
suffering 1
taken 1
tanis 1
temple 2
the 6
there 1
they 1
to 1
tribe 1
vanished 1
ventures 1
ways 1
while 1
who 2
with 1
wounded 1
