2112385
/m/06mz8b
/m/06mz8b
Qiu Xiaolong

18 1
a 4
also 1
and 1
are 1
assist 1
axe 1
body 1
bund 1
by 2
case 2
catherine 1
chen 1
chief 1
complicated 1
dead 1
decides 1
escort 1
fact 1
finds 1
for 1
going 1
gone 1
has 1
he 2
her 2
him 1
his 1
however 1
humansmuggling 1
in 3
inspector 1
investigation 2
is 2
it 1
look 1
marshal 1
means 1
missing 1
morning 1
not 1
of 1
one 1
ordered 1
park 1
precisely 1
rohn 1
take 1
talk 1
that 1
the 6
things 1
this 1
to 3
unless 1
up 1
us 1
who 1
wife 2
will 1
with 3
witness 1
woman 1
wounds 1
