3138438
/m/08twrk
/m/08twrk
Eugene Sledge
1981
a 6
account 1
across 1
also 1
always 1
american 1
and 13
around 1
as 4
assault 1
attack 1
attention 1
banzai 1
basic 1
battles 1
been 1
behavior 1
bodies 1
both 1
brings 1
brutality 1
brutish 1
but 1
by 3
came 1
campaign 1
case 1
catholes 1
characteristic 1
combat 2
comrade 1
constant 1
contrast 1
coral 2
corpse 1
corpses 1
cut 1
daily 1
dead 1
debilitating 1
describes 3
detail 1
dig 1
displayed 1
disturbing 1
dry 1
during 1
each 1
eat 1
effects 1
enemies 1
european 1
excellent 1
factor 1
fatigue 1
fear 2
field 1
filth 2
finding 1
for 1
from 3
frontal 1
frontline 1
full 1
genitals 1
gives 1
gold 1
had 2
handinhand 1
harbored 1
has 2
hatred 2
he 3
heat 1
his 2
historians 1
hopping 1
horror 1
important 1
impossible 1
in 11
including 2
infantry 1
infantrymen 1
instance 1
into 2
is 2
island 1
islands 1
it 3
japanese 4
jungle 1
latrines 1
little 1
lives 1
living 2
marine 1
marines 3
me 1
memoir 2
memoirs 1
mouth 1
moving 1
mud 1
mutilated 1
of 12
off 1
often 1
okinawa 1
omitted 1
on 3
one 3
or 2
other 2
otherwise 1
our 1
pacific 3
palm 1
peleliu 2
personal 1
perspective 1
physical 1
practicing 1
primitive 1
pulverized 1
puzzled 1
rain 1
rations 1
reader 1
received 1
removal 1
rock 1
sanitation 1
severely 1
sheer 1
sides 1
simply 1
sledge 5
so 1
soldier 1
soldiers 1
some 1
starkly 1
staying 1
still 1
struggle 1
stuffed 1
teeth 1
that 2
the 23
theater 1
their 1
this 2
three 1
time 1
to 3
towards 1
trees 1
trophytaking 1
trouble 1
used 1
war 2
was 2
well 1
went 1
which 1
whose 1
words 1
wounded 1
wrote 2
zone 1
