2454604
/m/07f8dc
/m/07f8dc
Tom Sharpe

{"/m/01z4y": "Comedy", "/m/02xlf": "Fiction"}
a 4
actions 1
all 1
along 1
an 1
and 6
apprentices 1
as 1
assistant 1
at 1
bizarre 1
but 2
by 2
chaos 1
character 2
college 1
community 1
construction 1
crimes 1
deduction 1
demoralized 1
detection 1
dignity 1
discover 1
doll 1
dreams 1
emotionally 1
england 1
eva 1
events 1
farcical 1
female 1
finds 1
flint 1
gruesome 1
harassment 1
he 2
heinous 1
henpecking 1
henry 2
her 1
him 1
his 2
humiliation 1
immature 1
in 2
including 1
inflatable 1
inspector 1
interpret 1
involving 1
is 2
its 1
journey 1
killing 1
lead 1
leave 1
lecturer 1
level 1
literature 1
main 1
novel 1
of 6
often 1
on 1
one 1
own 1
physically 1
plastic 1
plodding 1
police 1
powerful 1
professionally 1
pursued 1
refers 1
skills 1
some 1
south 1
start 1
strengths 1
string 1
teaches 1
tenacious 1
the 6
title 2
to 3
ultimately 1
underrated 1
unfortunate 1
uninterested 1
various 1
way 1
ways 1
which 1
while 1
who 1
whose 1
wife 1
wilt 4
with 1
years 1
