541704
/m/02n79q
/m/02n79q
Patricia Highsmith
1991-10-03
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
a 8
about 1
american 1
an 1
and 12
apparently 1
are 1
arrive 1
arrives 1
art 2
at 1
bar 1
becomes 1
before 1
blow 1
body 2
both 1
but 1
by 1
calls 1
calm 1
canals 1
close 1
collector 1
come 2
comes 1
connecting 1
corpse 1
crime 1
current 1
david 1
days 1
death 1
decidedly 1
delved 1
dickie 1
disappearance 1
disposes 1
doorstep 1
dragging 1
dumps 2
dysfunctional 1
eccentric 1
emptyhanded 1
evidence 1
fall 1
fight 1
final 1
finally 1
finds 1
following 1
fontainbleau 1
for 1
forgery 1
france 1
french 1
from 1
garden 2
gets 1
greenleaf 1
ground 1
harasses 1
harpsichord 1
has 1
having 1
he 3
headless 1
hear 1
heckler 1
heloise 1
him 2
his 10
home 2
hook 1
house 1
however 1
in 7
initially 1
installment 1
into 2
investigate 2
is 3
it 2
janice 1
knowledge 1
last 1
lid 1
life 2
local 1
locates 1
mere 1
meters 1
mostly 1
mr 1
muck 1
murchison 3
murdered 2
near 1
nearby 1
nefarious 1
night 1
now 1
obnoxious 1
obsession 1
of 9
off 1
on 3
out 1
outside 1
past 1
pathetically 1
perish 1
photographing 1
piece 1
playing 1
police 2
pond 1
pritchard 6
pritchards 2
remains 2
retired 1
returning 1
ripley 13
ripliad 1
safely 1
scene 1
scheme 1
serenity 1
serious 1
shares 1
shattered 1
skeletonized 1
spends 1
splash 1
stalker 1
starts 1
stashes 1
submissive 1
subsequently 1
suspicious 1
swim 1
takes 1
talented 1
talking 1
tangier 2
temporary 1
tending 1
that 1
the 19
then 1
they 2
thomas 1
threat 1
threatened 1
to 8
together 1
tom 1
tool 1
trip 1
trying 1
two 1
unable 1
under 1
up 1
upon 1
water 1
when 3
which 1
while 2
who 2
whom 1
wife 2
with 5
