16041414
/m/03qlzxy
/m/03qlzxy
Mike Resnick
1988-11
a 6
african 1
an 3
and 4
artificial 1
be 1
begins 1
believes 1
child 1
colonists 1
colony 1
decide 1
degrees 1
demon 1
dislike 1
end 1
environment 2
follows 1
graduate 1
he 4
his 2
how 1
if 1
in 3
infants 1
informs 1
insistence 1
interfere 2
investigator 1
is 3
it 1
kikuyu 4
killing 1
kills 1
kirinyaga 2
koriba 4
later 1
led 1
living 1
maintain 1
maintenance 3
man 1
matter 1
men 1
much 1
mundumugu 1
named 1
need 1
newborn 1
no 1
not 2
of 4
on 1
orbit 1
orbital 1
people 1
raised 1
received 1
recreate 1
recreates 1
regulate 1
savannah 1
see 1
send 1
set 1
several 2
story 1
that 3
the 8
their 1
them 1
there 1
they 3
thus 1
to 7
tolerate 1
tradition 1
traditional 1
traditions 2
train 1
tribe 2
unbending 1
utopia 1
warriors 1
was 1
western 1
when 1
who 1
will 1
with 2
young 1
