8184034
/m/026vjlf
/m/026vjlf
James Patterson
2005
a 5
against 1
alex 2
also 1
and 1
bank 1
battle 1
be 2
behind 1
bodies 1
book 1
but 1
calls 1
case 1
criminal 1
cross 3
death 1
family 1
for 1
games 1
he 1
himself 1
his 1
in 2
into 1
killer 1
lead 1
leave 1
loose 1
mastermind 1
may 1
meticulously 1
mind 1
mistake 1
must 1
new 1
not 1
of 2
on 1
only 1
planned 1
plunge 1
punished 1
putting 1
returns 1
risks 1
robberies 1
sadistic 1
series 2
sixth 1
slightest 1
takes 1
that 1
the 7
to 1
violence 1
wake 1
where 1
who 1
will 1
with 2
