13420965
/m/03c4ssb
/m/03c4ssb
Jodi Picoult
2006-03-17
{"/m/02xlf": "Fiction"}
a 5
accuses 1
after 1
alaska 1
although 1
and 6
are 1
artist 1
at 2
background 1
be 1
because 1
become 1
book 4
bridge 2
but 3
came 1
chapter 1
circle 1
claims 1
college 1
comic 3
concludes 1
confesses 1
consensual 1
daniel 6
daughter 1
died 1
drunk 1
end 1
everyone 1
exboyfriend 1
father 2
final 1
first 1
flees 1
follow 1
freshman 1
from 3
go 1
grew 1
hand 1
harsh 1
he 3
held 1
hell 1
her 6
him 2
his 3
innocent 1
intercourse 1
involved 1
is 5
jason 4
juxtaposed 1
latest 1
laura 6
leaps 1
let 1
life 2
lunging 1
main 1
mannered 1
mild 1
not 1
of 6
off 1
on 1
one 1
parallels 1
parents 1
plot 1
presumed 1
professor 1
pushed 1
pushing 1
quick 1
raping 1
reached 1
region 1
reunited 1
revealing 1
ruined 1
saving 1
she 3
showing 1
side 1
sleeping 1
so 1
stone 1
students 1
subplots 1
suicide 1
supposedly 1
suspected 1
take 1
tenth 1
that 2
the 9
their 1
then 1
there 1
thought 1
throughout 1
thus 1
to 5
trixie 5
underhill 1
up 1
was 4
when 3
where 1
which 1
who 1
whose 1
with 4
yupik 1
