6978994
/m/0gzp1y
/m/0gzp1y
Norman Maclean
1992
{"/m/03g3w": "History", "/m/05h83": "Non-fiction"}
14 1
155 1
178 1
a 2
additionally 2
advances 1
afternoon 1
again 1
air 1
albini 1
all 1
also 1
always 1
an 1
analysis 1
analyze 1
and 22
answers 1
area 1
as 2
assumed 1
at 3
attack 1
attempt 1
august 1
available 1
back 2
bantered 1
before 1
bends 1
between 1
bottom 1
brought 1
bud 1
but 1
by 1
came 1
canyon 2
cause 1
change 1
combination 1
combined 1
conclusions 1
contrasting 1
convergence 1
created 1
currents 1
day 2
dense 1
developed 1
died 1
direction 2
district 1
dodge 1
downriver 2
duty 1
each 1
ed 1
events 1
fatal 1
ferry 1
few 1
fighters 1
fire 16
for 1
forensically 1
forest 4
forested 1
forth 1
fought 1
four 1
frank 1
get 1
gisborne 1
got 1
grasses 1
ground 1
gulch 8
harry 1
heart 2
heat 2
heilman 1
helena 1
help 1
hoping 1
hot 1
how 1
ideas 1
in 10
included 1
including 1
instantly 1
instead 1
investigators 1
it 2
its 2
jansson 2
juts 1
killing 1
lab 1
laird 4
later 1
lived 1
lives 1
living 1
maclean 4
mann 5
massive 1
mathematical 1
members 1
men 2
meriwether 1
methodology 1
missing 1
missouri 1
modern 1
months 1
moore 1
most 1
mountains 1
multiple 1
national 1
new 1
norman 1
north 2
northwest 1
not 1
of 23
official 1
on 4
once 1
only 1
opposite 1
or 2
originally 1
other 3
out 1
own 1
part 1
path 1
pattern 1
pieces 2
plains 1
played 1
possible 2
produced 1
proved 1
ranger 1
reconverged 1
report 2
research 2
rich 1
ridge 2
rightangle 1
rightangles 1
river 2
robert 2
robinson 1
rothermel 1
rumsey 1
sallee 1
scene 1
search 1
separates 1
separatesmaller 1
service 2
several 1
sharply 1
side 3
smaller 1
solve 1
some 1
sources 1
south 2
split 1
started 1
states 1
suffer 1
survivor 1
survivors 1
system 1
t 1
taller 1
team 1
testimony 1
than 1
that 7
the 52
their 1
then 1
these 2
they 1
this 4
thought 2
time 1
to 10
together 1
took 2
top 1
tragedy 1
trapping 1
traveling 2
trees 2
trips 1
trying 1
two 4
unique 1
united 1
upstream 1
us 1
use 1
vegetation 2
wag 1
walking 1
walter 1
was 7
weather 1
went 1
which 2
who 2
wind 4
winds 2
with 4
would 4
