3603867
/m/09pbl2
/m/09pbl2
Mel Odom
2002-06
a 9
according 1
after 2
and 6
another 2
anya 1
appearance 1
arcade 1
are 2
as 2
at 1
back 1
beating 1
begin 1
being 3
beta 2
bizarre 1
bobby 1
bodies 1
buffy 3
but 1
by 1
concerning 1
conjure 1
dawn 2
deal 1
death 1
demon 1
demonic 1
demons 1
destroy 1
dimensional 1
discovers 1
doesnt 1
enter 1
evil 1
find 1
for 1
friend 2
from 1
further 1
game 4
get 1
girlfriend 1
group 1
having 1
his 2
how 1
human 1
humans 1
immersion 1
in 2
including 1
inspection 1
into 1
involved 1
is 1
isnt 1
issues 1
it 1
know 1
learns 1
lee 1
little 1
man 1
marathon 1
meanwhile 1
mom 1
mother 1
much 3
named 1
needs 1
new 1
of 3
one 1
over 1
own 1
portal 1
powerful 1
real 1
recent 1
recognizes 1
reluctant 1
research 1
robby 2
secretive 1
so 1
star 1
taken 1
testers 2
testing 2
tests 1
that 2
the 13
theater 2
their 1
these 1
threatening 1
to 5
too 1
tooker 1
total 1
trek 1
upon 1
using 1
very 2
video 4
vr 1
was 2
way 2
while 2
who 1
with 3
world 1
xander 3
