21677813
/m/05m_3ht
/m/05m_3ht
Bruce Marshall
1953
a 4
accuse 1
against 1
an 1
and 2
are 1
arrested 1
begins 1
being 1
believed 1
both 2
cabaret 1
club 1
commitment 1
defeat 1
due 1
each 1
ends 1
entertainer 1
fall 1
finds 1
followers 1
for 3
from 1
girl 1
have 2
he 2
helped 1
her 1
hide 1
himself 1
his 1
in 2
indoctrinating 1
into 1
is 3
it 2
its 1
meanwhile 1
meets 1
miraculous 1
napoleon 1
of 2
on 1
own 1
persecution 1
possession 1
powers 1
priest 2
priesthood 1
priests 2
reasons 1
relic 2
republicans 1
run 1
sacred 1
said 1
searching 1
side 1
sides 1
slips 1
spanish 1
suffers 1
that 1
the 8
their 1
them 2
to 6
up 2
wants 1
wavering 1
who 1
wind 1
young 1
