7787854
/m/026d085
/m/026d085
Wilson Tucker
1970
1 1
178 1
180 2
2000 1
2000plus 1
4 1
50th 1
a 32
according 1
additional 1
advance 1
after 3
aggressively 1
air 1
all 2
also 1
although 1
am 1
an 6
and 16
apart 1
approached 2
approximately 1
are 2
armored 1
arrival 2
arrives 2
arthur 2
as 7
asks 1
assertiveness 1
assisted 1
assuming 1
at 2
attack 1
attacked 1
attempt 1
attention 1
attraction 1
authorized 1
back 2
base 4
battle 2
be 3
beach 1
because 1
been 3
behalf 1
between 2
biblical 1
birthday 1
black 4
bomb 1
book 2
brian 1
bring 1
broader 1
building 2
bureau 1
but 2
by 13
called 1
causing 1
cermak 1
chaney 15
chicago 2
chiefs 1
children 1
china 2
choice 1
choosing 1
chosen 1
chronometers 1
cistern 1
city 1
civil 2
civilian 2
civilization 1
collapsed 1
coming 1
commander 1
concedes 1
constructed 1
contract 1
controversial 1
could 1
coup 1
courtship 1
coverage 1
date 2
dates 1
dead 1
decades 1
decisions 1
demographer 1
demurs 1
despises 1
destruction 1
dies 1
disastrous 1
discover 2
discovers 1
discovery 1
disillusioned 1
displacement 3
disrupted 1
diversely 1
dividing 1
does 1
down 2
dtat 1
due 1
during 1
each 1
earlier 2
elderly 1
election 3
embark 1
emerge 1
error 1
everyone 1
experience 1
experiences 1
explicitly 1
fact 2
failed 1
fear 1
fears 1
federal 1
figure 1
finds 2
first 4
florida 1
focuses 1
followed 1
for 4
force 1
foreshadowed 1
forever 1
forewarned 1
from 6
further 3
future 6
getting 1
given 1
gloating 1
go 1
goes 1
going 1
government 1
grave 2
guerrillas 2
had 2
handling 1
has 3
have 1
having 1
he 15
her 2
here 1
hiding 1
him 9
his 9
hise 1
how 1
i 1
identify 1
illinois 1
in 16
indeterminate 1
indirect 1
individual 1
inevitably 1
information 2
informs 4
initial 1
initially 1
installation 1
instead 1
instrument 1
interested 1
into 3
invading 1
investigating 1
involved 1
is 16
it 4
joint 1
joliet 1
july 1
just 1
kathryn 6
killed 1
knowledge 2
lacks 1
landslide 1
last 1
launched 1
law 1
learn 1
leave 1
leaving 1
led 1
liaison 1
license 1
lieutenant 1
little 1
longer 1
longneglected 1
loss 1
made 2
major 1
makes 1
man 3
marriage 1
martial 1
meeks 1
member 1
middle 2
military 3
mission 2
more 1
moresby 5
mortar 1
much 1
name 1
named 1
nation 1
navigation 1
navy 1
nearly 1
next 1
no 2
none 1
north 1
not 2
now 1
nuclear 2
of 28
officers 1
on 9
one 3
ongoing 1
only 4
or 1
order 1
ordered 1
others 1
out 1
outside 1
over 1
own 1
past 1
physical 1
plan 1
point 2
position 1
power 2
predicament 1
preparing 1
present 1
president 4
presidential 1
project 3
provide 1
published 1
purchased 1
pursue 1
pursuit 1
quickly 1
race 1
racial 1
ramjet 1
ramjets 1
reactor 1
reader 1
rebellion 1
recently 1
recruiting 1
reluctant 1
remnants 1
report 1
reported 1
reporter 1
reports 1
result 2
resulted 1
return 2
returns 1
reveals 1
riots 2
road 1
saltus 9
says 1
scholar 1
scrolls 1
sea 1
secretly 1
seniority 1
separated 1
series 1
set 1
shares 1
she 5
shut 1
significance 1
since 1
societal 1
soon 2
south 2
staff 1
standards 1
states 3
success 1
successful 2
such 1
summer 1
survey 1
survivors 1
take 2
taking 1
talented 1
tank 1
taperecorded 1
tdv 1
teamed 1
tells 1
temporal 1
than 1
that 15
the 69
their 4
themselves 1
then 1
there 1
these 1
they 4
think 1
this 2
three 2
thursday 1
thwarted 1
time 5
to 29
told 1
tragic 1
train 1
trapped 1
travel 4
travelers 2
traveling 1
travels 3
trip 3
trips 1
troops 1
trust 1
two 3
under 1
united 3
unknown 1
unlike 1
up 1
upon 2
vacation 1
van 1
vehicle 3
venturing 1
via 1
wall 1
war 3
was 1
weak 1
when 2
where 1
whether 1
which 4
while 2
who 4
whom 1
will 2
william 1
wins 2
with 11
within 1
woman 2
works 2
wounded 1
year 1
years 1
you 2
young 1
