8697417
/m/027fbrg
/m/027fbrg
Arkady Strugatsky

140s 1
150s 2
160s 1
170s 1
a 9
adviser 1
ahead 2
an 3
and 10
andrei 4
apparently 1
are 2
as 1
astronomer 1
at 3
back 2
become 1
becoming 1
beginning 1
being 1
beyond 1
border 1
but 2
by 3
can 1
character 1
circle 1
cities 1
city 3
communicate 1
conditions 1
control 1
crass 1
cultures 1
desert 2
deserted 1
dictator 1
dictatorship 2
dies 1
different 1
difficult 1
do 1
double 1
each 1
eager 1
earth 2
effortlessly 1
egalitarian 1
encounter 1
enigmatic 1
etc 1
eventually 2
exhausted 1
existence 1
expedition 2
experiment 3
explore 1
extreme 1
find 1
finds 1
first 2
for 1
forge 1
from 4
gathered 1
germany 1
goals 1
going 1
half 1
have 1
he 5
him 1
himself 1
his 4
however 1
human 1
humans 1
idealistic 1
identity 1
in 7
inhabited 1
is 7
it 1
izia 2
job 1
joseph 1
katzman 1
keep 1
know 1
languages 1
later 1
leading 1
leads 1
learn 1
leningrad 2
live 1
long 1
main 1
many 1
meaning 1
members 1
mentor 1
mentors 2
most 1
mysterious 2
naively 1
native 1
not 1
novel 2
of 17
old 1
on 4
one 1
only 1
opponent 1
or 2
other 2
out 2
passed 1
people 2
perish 1
place 1
places 1
point 1
ponder 1
proceed 1
proves 1
replaced 1
rotations 1
ruins 1
run 2
runs 1
second 1
seems 1
set 1
shaken 1
shooting 1
show 1
side 1
skirted 1
social 1
sociological 1
spite 1
strange 2
struggles 1
supplies 1
swamp 1
sweden 1
system 1
tells 1
that 4
the 33
them 1
then 1
there 1
they 5
time 1
times 1
to 4
turn 1
unrest 1
usa 1
various 1
vehement 1
very 1
volunteers 2
voronin 1
what 1
where 2
with 1
world 3
zero 1
