33701149
/m/0hhwdpx
/m/0hhwdpx
James Dashner
2011-10-11
{"/m/06n90": "Science Fiction", "/m/03mfnf": "Young adult literature", "/m/026ny": "Dystopia"}
1 1
26 1
3 4
500600 1
6 1
80 1
a 38
about 4
admits 1
after 7
agree 1
air 1
aircraft 1
airport 1
all 1
allowing 1
allows 1
along 1
also 6
an 6
and 47
andor 1
announces 1
anything 1
are 14
area 1
aris 2
arm 10
arrives 1
as 6
assistant 1
at 7
attempt 3
attempts 1
ava 1
away 2
b 1
back 6
bags 1
base 2
bay 1
be 3
because 4
been 1
before 3
begin 1
being 1
berg 6
bergs 1
blueprint 2
both 2
bounty 2
brain 4
brawl 1
break 1
breaks 1
brenda 6
bright 1
but 4
buy 1
by 9
calls 1
can 1
candidate 1
cannot 1
cant 1
captive 1
captured 2
car 1
catastrophe 1
ceiling 1
chance 1
chancellor 3
city 1
civilization 1
claims 1
coffee 3
collapse 2
come 3
comforting 1
complete 1
completed 1
complex 3
compound 1
confinement 1
continue 1
contracted 1
control 2
conversation 1
cqc 1
crank 2
crankfilled 1
cranks 1
crazy 1
create 1
crush 1
crushed 1
cure 3
damage 1
danger 1
days 1
death 1
debris 1
decides 1
dedicated 1
demands 1
denver 2
describing 1
destroyed 1
destroying 1
device 4
different 1
directions 1
director 1
disable 1
disappears 1
discover 2
discovered 1
discovers 2
do 1
door 1
down 1
driven 2
drives 1
driving 1
dropped 1
due 2
during 1
each 1
eat 1
electrical 1
else 1
ends 2
enforcement 1
entire 1
escape 5
escaped 4
escaping 2
etc 1
even 1
events 2
eventually 2
ever 1
everybody 1
explosives 1
faces 1
failed 1
falling 1
fatal 1
favor 1
few 1
final 2
find 1
finish 2
fire 1
flare 8
flareinfected 1
flat 3
flee 1
fly 1
flying 1
followed 1
for 12
forced 5
former 1
found 1
friend 3
from 8
frypan 2
fulfilling 1
future 1
gain 1
gally 3
gathered 1
gave 1
get 5
gets 1
getting 1
gives 3
glader 1
gladers 7
go 4
good 1
greeted 1
grenades 2
grievers 2
group 4
guard 1
guards 4
gunpoint 3
had 2
half 1
hand 1
hangar 2
hans 2
happening 1
has 4
hate 1
have 3
he 12
head 2
headquarters 4
heavily 1
help 1
helps 1
hidden 1
hikes 1
him 12
himself 2
his 3
holding 1
hour 1
how 1
hugging 1
hunters 2
if 2
immediately 1
immune 2
immunes 7
implant 1
in 19
including 2
infected 1
infiltration 1
inside 1
instead 1
instill 1
internal 1
into 4
involving 1
is 27
it 7
janson 7
jansonrat 1
job 1
jorge 4
just 1
kept 1
kidnapped 1
kill 3
killing 1
kissing 1
knives 1
knows 1
lands 1
large 1
last 2
late 1
launcher 2
launchers 3
law 1
lawrence 2
leader 2
leading 1
leave 2
leaving 1
let 1
lets 1
letter 2
life 1
live 1
locked 1
long 1
looking 1
losing 1
luckily 1
lying 1
maintenance 2
make 1
man 3
manage 2
manages 1
mankind 2
many 1
map 1
mapped 1
massive 3
maze 4
me 2
meet 5
member 1
memorandum 1
memories 2
men 1
met 1
miles 1
minho 5
missing 2
monitor 1
more 1
my 1
named 1
narrowly 2
natural 1
needs 1
neurologist 1
newt 13
no 2
not 3
note 2
now 1
occurred 1
occurs 1
of 16
off 3
on 8
once 1
one 2
ones 1
only 1
onto 1
open 1
operation 5
organ 1
organization 1
original 1
other 5
others 2
our 1
out 3
outside 2
over 3
overpower 2
paige 4
paradise 1
people 4
perform 1
performs 1
persuade 1
phase 2
piece 1
pilot 1
pistols 3
place 1
plan 4
planning 1
plans 1
plant 2
plantedthey 1
plants 1
plot 1
point 1
pondering 1
population 1
possible 1
pretend 1
previous 1
probably 1
process 1
put 3
quarantine 1
quote 1
reach 1
read 1
reads 1
realizes 1
really 1
rebuild 1
released 2
remaining 1
removing 1
rescuing 1
resistance 1
restart 1
reveals 2
ride 1
right 12
riot 1
room 2
safe 1
same 1
sanctuary 1
save 1
saved 1
say 1
says 1
scorch 2
screen 1
security 1
see 1
sees 1
several 1
she 5
shoot 1
shoots 1
shop 3
shortly 1
so 1
soldiers 1
solitary 1
some 4
somewhere 1
speak 1
start 1
starts 2
states 1
stay 1
stone 1
stop 2
strangles 1
strike 1
struck 1
stun 1
subjects 2
such 1
sun 1
survive 1
survived 1
swords 1
tackles 1
take 1
talk 1
talks 1
team 1
telepathically 1
tell 1
tells 3
teresa 7
that 29
the 102
their 9
them 9
then 2
there 5
they 31
this 1
thomas 37
though 2
through 2
time 3
to 72
too 2
took 1
toward 1
traditional 1
trained 1
trans 3
transported 2
trials 2
tried 3
tries 2
trip 1
trying 2
ultimately 1
underground 2
unknown 1
unspecified 1
until 1
up 2
upper 1
vaccine 2
van 2
vehicle 1
via 1
vince 1
visit 1
volunteers 1
vtol 1
wait 1
want 1
wanted 1
wants 2
warns 1
watch 1
we 1
weapons 2
were 4
what 1
when 8
where 7
which 4
while 5
who 9
whole 1
whom 1
wicked 17
wielding 2
will 2
wish 1
with 10
work 1
working 1
world 2
wrong 1
youve 1
zone 1
