591370
/m/02t51x
/m/02t51x
Harry Harrison
1965
a 15
active 1
admiralty 1
after 2
agricultural 1
almost 1
an 3
anarchist 1
and 8
arrest 1
arrives 1
artificial 1
as 5
attack 1
awol 1
back 1
backward 1
battle 1
bill 3
book 1
boot 1
brother 1
but 1
by 1
camp 1
centre 1
chingers 1
circle 1
city 2
cityplanet 1
coming 1
considered 1
continues 1
days 1
deathwish 3
deplanned 1
depths 1
deserter 1
destroyed 1
disposal 1
drang 3
drugged 1
during 1
duty 1
dying 1
emperor 1
employment 1
ends 1
escapes 1
escaping 1
falls 1
fanged 1
fangs 1
farmboy 1
find 1
finds 1
fires 1
first 1
flagship 1
flees 1
fleet 2
foot 2
from 1
full 1
fuse 1
gang 1
garbage 1
get 2
he 9
helior 2
hero 1
him 1
himself 1
his 7
home 1
however 1
humanchinger 1
hypnotised 1
in 2
ineptlyrun 1
infiltrate 1
injured 1
instructor 1
into 3
is 7
it 1
leads 1
medal 1
meets 1
missing 1
named 1
of 3
off 2
offplanet 1
on 4
outlaws 1
own 1
plan 1
planet 3
plot 1
prison 1
prisoners 1
proclaimed 1
race 1
receive 1
recruit 1
recruitment 1
recruits 1
reptilian 1
rescues 1
returns 1
reward 1
sent 3
service 1
shanghaied 1
shoots 1
shot 1
sightseeing 1
similarly 1
small 2
some 1
space 2
spy 1
stolen 1
story 1
surviving 1
takes 1
tender 1
the 15
then 3
to 12
tour 1
training 1
transferred 1
transit 1
transport 1
troopers 2
under 1
unit 1
unwilling 1
war 1
where 2
who 1
with 6
witnessed 1
working 1
younger 1
